Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,18.6,0
0,0.01,0.002,15.5,0
0,0.01,0.003,14.65,0
0,0.01,0.004,14.75,0
0,0.01,0.005,14.2,0
0,0.01,0.006,14.8,0
0,0.01,0.007,14.55,0
0,0.01,0.008,15.05,0
0,0.01,0.009,14.15,0
0,0.01,0.01,15,0
0,0.02,0.002,9.65,0
0,0.02,0.004,8.05,0
0,0.02,0.006,7.95,0
0,0.02,0.008,7.7,0
0,0.02,0.01,7.65,0
0,0.02,0.012,8.15,0
0,0.02,0.014,7.95,0
0,0.02,0.016,7.75,0
0,0.02,0.018,8.15,0
0,0.02,0.02,7.95,0
0,0.03,0.003,6.8,0
0,0.03,0.006,5.9,0
0,0.03,0.009,5.7,0
0,0.03,0.012,5.55,0
0,0.03,0.015,5.15,0
0,0.03,0.018,5.2,0
0,0.03,0.021,5.75,0
0,0.03,0.024,5.5,0
0,0.03,0.027,5.55,0
0,0.03,0.03,5.7,0
0,0.04,0.004,5.35,0
0,0.04,0.008,4.65,0
0,0.04,0.012,4.5,0
0,0.04,0.016,4.1,0
0,0.04,0.02,4.35,0
0,0.04,0.024,4.15,0
0,0.04,0.028,4.2,0
0,0.04,0.032,4.05,0
0,0.04,0.036,4.25,0
0,0.04,0.04,4.25,0
0,0.05,0.005,4.5,0
0,0.05,0.01,4.15,0
0,0.05,0.015,3.6,0
0,0.05,0.02,3.65,0
0,0.05,0.025,3.6,0
0,0.05,0.03,3.4,0
0,0.05,0.035,3.55,0
0,0.05,0.04,3.25,0
0,0.05,0.045,3.4,0
0,0.05,0.05,3.4,0
0,0.06,0.006,4.15,0
0,0.06,0.012,3.75,0
0,0.06,0.018,3.3,0
0,0.06,0.024,3.05,0
0,0.06,0.03,3.1,0
0,0.06,0.036,3.15,0
0,0.06,0.042,3.15,0
0,0.06,0.048,3,0
0,0.06,0.054,3,0
0,0.06,0.06,2.95,0
0,0.07,0.007,3.75,0
0,0.07,0.014,3.2,0
0,0.07,0.021,2.95,0
0,0.07,0.028,2.8,0
0,0.07,0.035,2.8,0
0,0.07,0.042,2.75,0
0,0.07,0.049,2.65,0
0,0.07,0.056,2.7,0
0,0.07,0.063,2.55,0
0,0.07,0.07,2.75,0
0,0.08,0.008,3.45,0
0,0.08,0.016,3.1,0
0,0.08,0.024,2.85,0
0,0.08,0.032,2.55,0
0,0.08,0.04,2.55,0
0,0.08,0.048,2.25,0
0,0.08,0.056,2.5,0
0,0.08,0.064,2.35,0
0,0.08,0.072,2.35,0
0,0.08,0.08,2.2,0
0,0.09,0.009,3.2,0
0,0.09,0.018,2.8,0
0,0.09,0.027,2.6,0
0,0.09,0.036,2.3,0
0,0.09,0.045,2.35,0
0,0.09,0.054,2,0
0,0.09,0.063,2.05,0
0,0.09,0.072,2.1,0
0,0.09,0.081,2.05,0
0,0.09,0.09,2.05,0
0,0.1,0.01,3.05,0
0,0.1,0.02,2.65,0
0,0.1,0.03,2.15,0
0,0.1,0.04,2.15,0
0,0.1,0.05,2.25,0
0,0.1,0.06,2.05,0
0,0.1,0.07,2,0
0,0.1,0.08,2,0
0,0.1,0.09,2,0
0,0.1,0.1,2,0
0.005,0.01,0,23.7,100
0.005,0.01,0.001,16.2,17.8871750328164
0.005,0.01,0.002,14.95,7.69084338856477
0.005,0.01,0.003,14.2,6.17644169567892
0.005,0.01,0.004,14.2,4.99339057860682
0.005,0.01,0.005,14.6,5.98413858984958
0.005,0.01,0.006,14.75,3.39388719322039
0.005,0.01,0.007,14.95,3.89646199302681
0.005,0.01,0.008,14.3,3.73413262362647
0.005,0.01,0.009,15.55,3.70740174406771
0.005,0.01,0.01,15,3.06084413465949
0.005,0.02,0,15.8,100
0.005,0.02,0.002,8.9,7.03357813505067
0.005,0.02,0.004,8.6,6.02704994666229
0.005,0.02,0.006,7.55,2.48911827780886
0.005,0.02,0.008,8.1,3.17783356826804
0.005,0.02,0.01,7.05,2.836188746634
0.005,0.02,0.012,7.6,1.48043360661705
0.005,0.02,0.014,7.45,1.74185293814155
0.005,0.02,0.016,7.7,1.45470814406625
0.005,0.02,0.018,7.55,1.39450452310465
0.005,0.02,0.02,7.75,1.35093715995426
0.005,0.03,0,11.55,100
0.005,0.03,0.003,7.1,3.6706592667168
0.005,0.03,0.006,5.95,2.06661657309036
0.005,0.03,0.009,5.6,1.76548829600163
0.005,0.03,0.012,5.4,1.6145157716797
0.005,0.03,0.015,5.15,0.966634275736019
0.005,0.03,0.018,5.5,0.890233281010534
0.005,0.03,0.021,5.1,0.692754899135967
0.005,0.03,0.024,5.4,0.779488068075985
0.005,0.03,0.027,5.25,0.728976030298628
0.005,0.03,0.03,5.35,0.987756192930229
0.005,0.04,0,11.05,100
0.005,0.04,0.004,5.2,3.32507353713809
0.005,0.04,0.008,4.55,2.39290537780528
0.005,0.04,0.012,4.4,1.07664328767809
0.005,0.04,0.016,4.25,0.553774389333437
0.005,0.04,0.02,4.25,0.678750475994005
0.005,0.04,0.024,4.15,0.59615174315183
0.005,0.04,0.028,4.2,0.577303737980594
0.005,0.04,0.032,4.2,0.536880024169267
0.005,0.04,0.036,4.05,0.590559748183135
0.005,0.04,0.04,3.85,0.466303672311196
0.005,0.05,0,8.8,100
0.005,0.05,0.005,4.5,3.24721273694009
0.005,0.05,0.01,3.95,1.98253845015577
0.005,0.05,0.015,3.95,0.779262989845771
0.005,0.05,0.02,3.7,0.656550659011048
0.005,0.05,0.025,3.55,0.677619044783076
0.005,0.05,0.03,3.45,0.329908936092635
0.005,0.05,0.035,3.5,0.391987358692408
0.005,0.05,0.04,3.4,0.185503352313564
0.005,0.05,0.045,3.4,0.331267350240743
0.005,0.05,0.05,3.3,0.257504564464099
0.005,0.06,0,7.9,100
0.005,0.06,0.006,4.1,0.90626406162165
0.005,0.06,0.012,3.7,1.11357511229457
0.005,0.06,0.018,3.3,0.557026187460006
0.005,0.06,0.024,3.15,0.418249617210091
0.005,0.06,0.03,3.1,0.297332235350175
0.005,0.06,0.036,2.95,0.164269912120594
0.005,0.06,0.042,3.05,0.246454493961176
0.005,0.06,0.048,3.1,0.411056152668736
0.005,0.06,0.054,3,0.306830146668276
0.005,0.06,0.06,3,0.226446445025314
0.005,0.07,0,8,100
0.005,0.07,0.007,3.6,1.06555365263582
0.005,0.07,0.014,3.25,0.786924549814897
0.005,0.07,0.021,2.95,0.568556763790879
0.005,0.07,0.028,3.05,0.347215060379471
0.005,0.07,0.035,2.85,0.367531294439645
0.005,0.07,0.042,2.95,0.233152481406437
0.005,0.07,0.049,2.8,0.224685447979176
0.005,0.07,0.056,2.8,0.288436622745574
0.005,0.07,0.063,2.5,0.185977207377915
0.005,0.07,0.07,2.7,0.20632028323615
0.005,0.08,0,6.8,100
0.005,0.08,0.008,3.3,0.681152751831739
0.005,0.08,0.016,3.05,0.383560519563018
0.005,0.08,0.024,2.8,0.521405729086005
0.005,0.08,0.032,2.55,0.16400269880965
0.005,0.08,0.04,2.65,0.275192789787801
0.005,0.08,0.048,2.4,0.112381619345895
0.005,0.08,0.056,2.1,0.176040183842265
0.005,0.08,0.064,2.4,0.0926494564103619
0.005,0.08,0.072,2.25,0.134978633654388
0.005,0.08,0.08,2.3,0.0920811258789462
0.005,0.09,0,6.45,100
0.005,0.09,0.009,3.15,1.10709275824629
0.005,0.09,0.018,2.9,0.895731279834069
0.005,0.09,0.027,2.75,0.323671973754241
0.005,0.09,0.036,2.25,0.184126771802097
0.005,0.09,0.045,2.35,0.316198894294809
0.005,0.09,0.054,2.2,0.123212660802623
0.005,0.09,0.063,2.05,0.11324285004063
0.005,0.09,0.072,2.1,0.153667512835402
0.005,0.09,0.081,2.05,0.112693198184697
0.005,0.09,0.09,2.1,0.0922461808513649
0.005,0.1,0,6.85,100
0.005,0.1,0.01,3.15,1.05467465027934
0.005,0.1,0.02,2.8,0.395849609376548
0.005,0.1,0.03,2.3,0.213005591147369
0.005,0.1,0.04,2.25,0.203711173122273
0.005,0.1,0.05,2.05,0.143645643174647
0.005,0.1,0.06,2.2,0.234883565231513
0.005,0.1,0.07,2.05,0.132020601669453
0.005,0.1,0.08,2,0.102448351377006
0.005,0.1,0.09,2,0.0820992299830532
0.005,0.1,0.1,2,0.0611225378704306
0.01,0.01,0,20.25,100
0.01,0.01,0.001,16.25,24.4861831038083
0.01,0.01,0.002,13.75,18.4297227030024
0.01,0.01,0.003,13.6,9.84115966128341
0.01,0.01,0.004,13.6,8.39683133178663
0.01,0.01,0.005,13.6,9.14320375728049
0.01,0.01,0.006,14.75,7.73972861674524
0.01,0.01,0.007,14.05,6.75511395729494
0.01,0.01,0.008,14.3,7.69468740581639
0.01,0.01,0.009,14.4,5.6889775572219
0.01,0.01,0.01,14.9,6.11375662467989
0.01,0.02,0,12.65,100
0.01,0.02,0.002,9.1,14.3200759775351
0.01,0.02,0.004,8.25,6.90593294933294
0.01,0.02,0.006,7.95,5.31799971262267
0.01,0.02,0.008,7.5,4.47269400760133
0.01,0.02,0.01,8.05,4.39573005147923
0.01,0.02,0.012,7.35,3.18736523494333
0.01,0.02,0.014,7.75,3.66394783415097
0.01,0.02,0.016,7.45,2.96315944801663
0.01,0.02,0.018,7.65,2.75301977486921
0.01,0.02,0.02,7.9,3.45800245106169
0.01,0.03,0,9.85,100
0.01,0.03,0.003,6.6,10.798475831795
0.01,0.03,0.006,5.8,5.46125798991407
0.01,0.03,0.009,5.65,3.00092926925368
0.01,0.03,0.012,5.5,3.04446408836245
0.01,0.03,0.015,5.45,2.3159722552406
0.01,0.03,0.018,5.2,1.62235284736859
0.01,0.03,0.021,5.05,1.38420161999253
0.01,0.03,0.024,4.85,1.58730706633867
0.01,0.03,0.027,5.05,1.40215178536645
0.01,0.03,0.03,5.4,1.8114460172888
0.01,0.04,0,8.85,100
0.01,0.04,0.004,5.4,6.7053983809108
0.01,0.04,0.008,4.65,2.80085613410565
0.01,0.04,0.012,4.35,1.69629381928566
0.01,0.04,0.016,4.45,2.03093305749383
0.01,0.04,0.02,4.3,1.45610034642452
0.01,0.04,0.024,4.2,1.50791588244226
0.01,0.04,0.028,4.4,1.28164328770482
0.01,0.04,0.032,4.2,1.46953868270409
0.01,0.04,0.036,4,0.988546670520145
0.01,0.04,0.04,3.95,1.28744573734158
0.01,0.05,0,7.45,100
0.01,0.05,0.005,4.45,4.14108782145644
0.01,0.05,0.01,4.05,2.18230729240671
0.01,0.05,0.015,3.8,2.21442773333776
0.01,0.05,0.02,3.6,1.26018579952312
0.01,0.05,0.025,3.5,1.36126823607433
0.01,0.05,0.03,3.35,0.920879597443413
0.01,0.05,0.035,3.35,0.866214526197193
0.01,0.05,0.04,3.45,0.698942835860893
0.01,0.05,0.045,3.4,0.753672349632058
0.01,0.05,0.05,3.45,0.750451138512205
0.01,0.06,0,7.3,100
0.01,0.06,0.006,4.35,6.68377494550645
0.01,0.06,0.012,3.85,2.58703792038049
0.01,0.06,0.018,3.25,1.02940656732103
0.01,0.06,0.024,3.15,1.12419871762246
0.01,0.06,0.03,3.2,0.881890557627888
0.01,0.06,0.036,3.1,0.664865501464867
0.01,0.06,0.042,2.95,0.408843665328369
0.01,0.06,0.048,2.9,0.605219730096045
0.01,0.06,0.054,2.9,0.370026323593422
