Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,17.05,0
0,0.01,0.002,14.9,0
0,0.01,0.003,14.75,0
0,0.01,0.004,13.85,0
0,0.01,0.005,15,0
0,0.01,0.006,15,0
0,0.01,0.007,15,0
0,0.01,0.008,14.35,0
0,0.01,0.009,15.5,0
0,0.01,0.01,14.95,0
0,0.02,0.002,9.45,0
0,0.02,0.004,8.15,0
0,0.02,0.006,7.7,0
0,0.02,0.008,7.8,0
0,0.02,0.01,7.3,0
0,0.02,0.012,7.55,0
0,0.02,0.014,7.85,0
0,0.02,0.016,7.7,0
0,0.02,0.018,7.85,0
0,0.02,0.02,7.6,0
0,0.03,0.003,6.35,0
0,0.03,0.006,5.7,0
0,0.03,0.009,5.8,0
0,0.03,0.012,5.35,0
0,0.03,0.015,5.4,0
0,0.03,0.018,5.35,0
0,0.03,0.021,5.1,0
0,0.03,0.024,5.3,0
0,0.03,0.027,5.75,0
0,0.03,0.03,5.35,0
0,0.04,0.004,5.4,0
0,0.04,0.008,4.75,0
0,0.04,0.012,4.45,0
0,0.04,0.016,4.3,0
0,0.04,0.02,4.1,0
0,0.04,0.024,4.25,0
0,0.04,0.028,4.15,0
0,0.04,0.032,3.95,0
0,0.04,0.036,4.2,0
0,0.04,0.04,4.15,0
0,0.05,0.005,4.5,0
0,0.05,0.01,3.8,0
0,0.05,0.015,3.85,0
0,0.05,0.02,3.7,0
0,0.05,0.025,3.45,0
0,0.05,0.03,3.2,0
0,0.05,0.035,3.5,0
0,0.05,0.04,3.6,0
0,0.05,0.045,3.45,0
0,0.05,0.05,3.4,0
0,0.06,0.006,3.85,0
0,0.06,0.012,3.3,0
0,0.06,0.018,3,0
0,0.06,0.024,3.4,0
0,0.06,0.03,3.05,0
0,0.06,0.036,3.05,0
0,0.06,0.042,3,0
0,0.06,0.048,3,0
0,0.06,0.054,3,0
0,0.06,0.06,2.95,0
0,0.07,0.007,3.6,0
0,0.07,0.014,3.3,0
0,0.07,0.021,2.9,0
0,0.07,0.028,2.9,0
0,0.07,0.035,2.8,0
0,0.07,0.042,2.8,0
0,0.07,0.049,2.9,0
0,0.07,0.056,2.65,0
0,0.07,0.063,2.65,0
0,0.07,0.07,2.8,0
0,0.08,0.008,3.4,0
0,0.08,0.016,2.95,0
0,0.08,0.024,2.8,0
0,0.08,0.032,2.5,0
0,0.08,0.04,2.65,0
0,0.08,0.048,2.4,0
0,0.08,0.056,2.35,0
0,0.08,0.064,2.25,0
0,0.08,0.072,2.35,0
0,0.08,0.08,2.1,0
0,0.09,0.009,3.25,0
0,0.09,0.018,2.75,0
0,0.09,0.027,2.65,0
0,0.09,0.036,2.4,0
0,0.09,0.045,2.4,0
0,0.09,0.054,2.25,0
0,0.09,0.063,2.15,0
0,0.09,0.072,2,0
0,0.09,0.081,2.05,0
0,0.09,0.09,2,0
0,0.1,0.01,3.05,0
0,0.1,0.02,2.8,0
0,0.1,0.03,2.55,0
0,0.1,0.04,2.05,0
0,0.1,0.05,2,0
