Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,21.9,0
0,0.01,0.002,20.15,0
0,0.01,0.003,19.5,0
0,0.01,0.004,18.9,0
0,0.01,0.005,19.4,0
0,0.01,0.006,18.95,0
0,0.01,0.007,19.2,0
0,0.01,0.008,19.95,0
0,0.01,0.009,20.1,0
0,0.01,0.01,19.6,0
0,0.02,0.002,10.75,0
0,0.02,0.004,10.35,0
0,0.02,0.006,9.85,0
0,0.02,0.008,9.4,0
0,0.02,0.01,10.8,0
0,0.02,0.012,10.5,0
0,0.02,0.014,9.8,0
0,0.02,0.016,10.05,0
0,0.02,0.018,10.45,0
0,0.02,0.02,10,0
0,0.03,0.003,7.7,0
0,0.03,0.006,7.35,0
0,0.03,0.009,7.05,0
0,0.03,0.012,6.75,0
0,0.03,0.015,7,0
0,0.03,0.018,7,0
0,0.03,0.021,6.95,0
0,0.03,0.024,7.15,0
0,0.03,0.027,6.9,0
0,0.03,0.03,7.4,0
0,0.04,0.004,6.55,0
0,0.04,0.008,5.75,0
0,0.04,0.012,5.45,0
0,0.04,0.016,5.9,0
0,0.04,0.02,5.6,0
0,0.04,0.024,5.5,0
0,0.04,0.028,5.2,0
0,0.04,0.032,5.3,0
0,0.04,0.036,5.55,0
0,0.04,0.04,5.3,0
0,0.05,0.005,6.1,0
0,0.05,0.01,4.95,0
0,0.05,0.015,4.5,0
0,0.05,0.02,4.7,0
0,0.05,0.025,4.6,0
0,0.05,0.03,4.55,0
0,0.05,0.035,4.4,0
0,0.05,0.04,4.55,0
0,0.05,0.045,4.35,0
0,0.05,0.05,4.45,0
0,0.06,0.006,4.75,0
0,0.06,0.012,4.25,0
0,0.06,0.018,4.05,0
0,0.06,0.024,4,0
0,0.06,0.03,3.9,0
0,0.06,0.036,3.8,0
0,0.06,0.042,3.75,0
0,0.06,0.048,3.9,0
0,0.06,0.054,3.85,0
0,0.06,0.06,3.8,0
0,0.07,0.007,4.2,0
0,0.07,0.014,3.85,0
0,0.07,0.021,3.65,0
0,0.07,0.028,3.85,0
0,0.07,0.035,3.4,0
0,0.07,0.042,3.35,0
0,0.07,0.049,3.35,0
0,0.07,0.056,3.25,0
0,0.07,0.063,3.3,0
0,0.07,0.07,3.3,0
0,0.08,0.008,4.05,0
0,0.08,0.016,3.55,0
0,0.08,0.024,3.3,0
0,0.08,0.032,3.1,0
0,0.08,0.04,3.1,0
0,0.08,0.048,3.1,0
0,0.08,0.056,3.05,0
0,0.08,0.064,3,0
0,0.08,0.072,3,0
0,0.08,0.08,3,0
0,0.09,0.009,3.75,0
0,0.09,0.018,3.4,0
0,0.09,0.027,3.1,0
0,0.09,0.036,2.95,0
0,0.09,0.045,2.95,0
0,0.09,0.054,2.8,0
0,0.09,0.063,2.8,0
0,0.09,0.072,2.75,0
0,0.09,0.081,2.7,0
0,0.09,0.09,2.85,0
0,0.1,0.01,3.45,0
0,0.1,0.02,3.25,0
0,0.1,0.03,2.95,0
0,0.1,0.04,2.9,0
0,0.1,0.05,2.65,0
0,0.1,0.06,2.8,0
0,0.1,0.07,2.75,0
0,0.1,0.08,2.5,0
0,0.1,0.09,2.35,0
0,0.1,0.1,2.45,0
0.005,0.01,0,28.35,100
0.005,0.01,0.001,21.05,17.0637830933265
0.005,0.01,0.002,19.95,8.83265123083108
0.005,0.01,0.003,19.25,9.2729073634842
0.005,0.01,0.004,17.6,6.07307569702708
0.005,0.01,0.005,18.7,5.77587337216503
0.005,0.01,0.006,19.5,5.66594004529991
0.005,0.01,0.007,17.75,4.56417858764592
0.005,0.01,0.008,19.8,5.52563109913216
0.005,0.01,0.009,19.45,5.45515169508729
0.005,0.01,0.01,20,3.73588535379523
0.005,0.02,0,17.1,100
0.005,0.02,0.002,11.15,9.34729078697382
0.005,0.02,0.004,9.95,5.87735507293854
0.005,0.02,0.006,10.2,5.55692184387219
0.005,0.02,0.008,9.8,3.11391503007865
0.005,0.02,0.01,10,3.20658809610115
0.005,0.02,0.012,9.8,2.83285310984133
0.005,0.02,0.014,10.05,2.20992557754471
0.005,0.02,0.016,10.65,2.1029063139121
0.005,0.02,0.018,10.4,2.18533647305827
0.005,0.02,0.02,10.05,1.56892408891003
0.005,0.03,0,14.65,100
0.005,0.03,0.003,8.3,6.4755346611006
0.005,0.03,0.006,7.3,3.86194989503452
0.005,0.03,0.009,6.8,2.15961373158447
0.005,0.03,0.012,7.05,2.05946598829063
0.005,0.03,0.015,6.65,1.80120132854105
0.005,0.03,0.018,6.75,1.53201855802275
