Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,16,0
0,0.01,0.002,15.35,0
0,0.01,0.003,15.65,0
0,0.01,0.004,15.1,0
0,0.01,0.005,14.5,0
0,0.01,0.006,14.65,0
0,0.01,0.007,14.25,0
0,0.01,0.008,14.2,0
0,0.01,0.009,16.45,0
0,0.01,0.01,15.25,0
0,0.02,0.002,9.1,0
0,0.02,0.004,7.95,0
0,0.02,0.006,7.65,0
0,0.02,0.008,7.5,0
0,0.02,0.01,7.55,0
0,0.02,0.012,7.15,0
0,0.02,0.014,7.95,0
0,0.02,0.016,8.3,0
0,0.02,0.018,7.65,0
0,0.02,0.02,7.95,0
0,0.03,0.003,6.3,0
0,0.03,0.006,5.85,0
0,0.03,0.009,5.65,0
0,0.03,0.012,5.6,0
0,0.03,0.015,5.3,0
0,0.03,0.018,5.15,0
0,0.03,0.021,5.1,0
0,0.03,0.024,5.45,0
0,0.03,0.027,5.4,0
0,0.03,0.03,5.2,0
0,0.04,0.004,5.45,0
0,0.04,0.008,4.75,0
0,0.04,0.012,4.4,0
0,0.04,0.016,4.35,0
0,0.04,0.02,4.15,0
0,0.04,0.024,4.4,0
0,0.04,0.028,4.4,0
0,0.04,0.032,4,0
0,0.04,0.036,4.05,0
0,0.04,0.04,4.2,0
0,0.05,0.005,4.55,0
0,0.05,0.01,3.9,0
0,0.05,0.015,3.85,0
0,0.05,0.02,3.6,0
0,0.05,0.025,3.5,0
0,0.05,0.03,3.3,0
0,0.05,0.035,3.65,0
0,0.05,0.04,3.35,0
0,0.05,0.045,3.55,0
0,0.05,0.05,3.5,0
0,0.06,0.006,3.95,0
0,0.06,0.012,3.4,0
0,0.06,0.018,3.45,0
0,0.06,0.024,3,0
0,0.06,0.03,3.2,0
0,0.06,0.036,3.1,0
0,0.06,0.042,3.2,0
0,0.06,0.048,2.9,0
0,0.06,0.054,3.15,0
0,0.06,0.06,3.1,0
0,0.07,0.007,3.55,0
0,0.07,0.014,3.15,0
0,0.07,0.021,3.05,0
0,0.07,0.028,2.9,0
0,0.07,0.035,2.7,0
0,0.07,0.042,2.8,0
0,0.07,0.049,2.75,0
0,0.07,0.056,2.7,0
0,0.07,0.063,2.75,0
0,0.07,0.07,2.85,0
0,0.08,0.008,3.25,0
0,0.08,0.016,3,0
0,0.08,0.024,2.8,0
0,0.08,0.032,2.7,0
0,0.08,0.04,2.7,0
0,0.08,0.048,2.4,0
0,0.08,0.056,2.3,0
0,0.08,0.064,2.25,0
0,0.08,0.072,2.25,0
0,0.08,0.08,2.2,0
0,0.09,0.009,3.15,0
0,0.09,0.018,2.9,0
0,0.09,0.027,2.35,0
0,0.09,0.036,2.55,0
0,0.09,0.045,2.4,0
0,0.09,0.054,2.15,0
0,0.09,0.063,2.1,0
0,0.09,0.072,2.1,0
0,0.09,0.081,2.1,0
0,0.09,0.09,2.05,0
0,0.1,0.01,3,0
0,0.1,0.02,2.65,0
0,0.1,0.03,2.3,0
0,0.1,0.04,2.15,0
0,0.1,0.05,2.15,0
0,0.1,0.06,2.1,0
0,0.1,0.07,2.05,0
0,0.1,0.08,2,0
