Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,32.4,0
0,0.01,0.002,31.2,0
0,0.01,0.003,29.55,0
0,0.01,0.004,28.65,0
0,0.01,0.005,28.7,0
0,0.01,0.006,30.4,0
0,0.01,0.007,29.9,0
0,0.01,0.008,30.8,0
0,0.01,0.009,30.15,0
0,0.01,0.01,31.25,0
0,0.02,0.002,17.6,0
0,0.02,0.004,15.65,0
0,0.02,0.006,15,0
0,0.02,0.008,14.2,0
0,0.02,0.01,14.7,0
0,0.02,0.012,15.5,0
0,0.02,0.014,14.7,0
0,0.02,0.016,15.55,0
0,0.02,0.018,15,0
0,0.02,0.02,16.05,0
0,0.03,0.003,12,0
0,0.03,0.006,10.65,0
0,0.03,0.009,10.25,0
0,0.03,0.012,10.3,0
0,0.03,0.015,9.7,0
0,0.03,0.018,10.1,0
0,0.03,0.021,10.7,0
0,0.03,0.024,10.65,0
0,0.03,0.027,10.5,0
0,0.03,0.03,10.9,0
0,0.04,0.004,8.95,0
0,0.04,0.008,8.3,0
0,0.04,0.012,7.95,0
0,0.04,0.016,7.65,0
0,0.04,0.02,7.65,0
0,0.04,0.024,7.9,0
0,0.04,0.028,7.6,0
0,0.04,0.032,7.95,0
0,0.04,0.036,8.35,0
0,0.04,0.04,8.1,0
0,0.05,0.005,7.35,0
0,0.05,0.01,6.95,0
0,0.05,0.015,6.55,0
0,0.05,0.02,6.3,0
0,0.05,0.025,6.35,0
0,0.05,0.03,6.35,0
0,0.05,0.035,6.3,0
0,0.05,0.04,6.35,0
0,0.05,0.045,6.45,0
0,0.05,0.05,6.7,0
0,0.06,0.006,6.5,0
0,0.06,0.012,6.1,0
0,0.06,0.018,5.55,0
0,0.06,0.024,5.65,0
0,0.06,0.03,5.6,0
0,0.06,0.036,5.5,0
0,0.06,0.042,5.35,0
0,0.06,0.048,5.6,0
0,0.06,0.054,5.35,0
0,0.06,0.06,5.7,0
0,0.07,0.007,5.65,0
0,0.07,0.014,5.15,0
0,0.07,0.021,4.9,0
0,0.07,0.028,4.9,0
0,0.07,0.035,4.5,0
0,0.07,0.042,4.7,0
0,0.07,0.049,4.65,0
0,0.07,0.056,4.8,0
0,0.07,0.063,4.5,0
0,0.07,0.07,5.1,0
0,0.08,0.008,5.2,0
0,0.08,0.016,4.75,0
0,0.08,0.024,4.2,0
0,0.08,0.032,4.25,0
0,0.08,0.04,4.15,0
0,0.08,0.048,4.4,0
0,0.08,0.056,4.15,0
0,0.08,0.064,4.2,0
0,0.08,0.072,4.2,0
0,0.08,0.08,4.45,0
0,0.09,0.009,5,0
0,0.09,0.018,4.4,0
0,0.09,0.027,4.15,0
0,0.09,0.036,3.85,0
0,0.09,0.045,4,0
0,0.09,0.054,3.85,0
0,0.09,0.063,3.7,0
0,0.09,0.072,3.75,0
0,0.09,0.081,3.9,0
0,0.09,0.09,3.95,0
0,0.1,0.01,4.5,0
0,0.1,0.02,4,0
0,0.1,0.03,3.95,0
0,0.1,0.04,3.45,0
0,0.1,0.05,3.5,0
0,0.1,0.06,3.7,0
0,0.1,0.07,3.65,0
0,0.1,0.08,3.5,0
0,0.1,0.09,3.45,0
0,0.1,0.1,3.35,0
0.005,0.01,0,37.2,100
0.005,0.01,0.001,29.4,21.4219614180762
0.005,0.01,0.002,28.8,14.0779994895239
0.005,0.01,0.003,25.7,11.5461572686225
0.005,0.01,0.004,28.2,9.42457953266587
0.005,0.01,0.005,28.45,8.56457441388698
0.005,0.01,0.006,28.1,9.00318417360351
0.005,0.01,0.007,29.4,7.04461548340777
0.005,0.01,0.008,28.6,7.44509424133914
0.005,0.01,0.009,29.9,7.10521637019697
0.005,0.01,0.01,29.2,7.75734421351076
0.005,0.02,0,21.6,100
0.005,0.02,0.002,17.15,12.7073805545155
0.005,0.02,0.004,14.8,5.08735048152316
0.005,0.02,0.006,14.65,6.04674007485543
0.005,0.02,0.008,14.15,5.03314780166789
0.005,0.02,0.01,14.35,4.8632539163484
0.005,0.02,0.012,14.95,4.56324716420813
0.005,0.02,0.014,14.55,3.73310625922367
0.005,0.02,0.016,14.85,3.58752597657715
0.005,0.02,0.018,15,4.53468316446662
0.005,0.02,0.02,15.7,3.42536276496161
0.005,0.03,0,16.9,100
0.005,0.03,0.003,11.6,7.51008677632644
0.005,0.03,0.006,10.55,4.55927870703198
0.005,0.03,0.009,10,3.69162219085159
0.005,0.03,0.012,10.05,2.80916672843021
0.005,0.03,0.015,9.95,2.55593620631937
0.005,0.03,0.018,9.8,2.06035311083274
0.005,0.03,0.021,9.95,2.08695949061216
0.005,0.03,0.024,10.5,1.90291597772639
0.005,0.03,0.027,10.15,1.72577364366037
0.005,0.03,0.03,10.4,2.308808023752
0.005,0.04,0,15.35,100
0.005,0.04,0.004,8.6,3.4337455010967
0.005,0.04,0.008,8.4,5.14896083296759
0.005,0.04,0.012,8,2.85050283125129
0.005,0.04,0.016,8,2.32646765665788
0.005,0.04,0.02,7.25,1.79397061500433
0.005,0.04,0.024,7.75,1.38645139519295
0.005,0.04,0.028,7.6,1.547209686074
0.005,0.04,0.032,8.3,1.44742419613162
0.005,0.04,0.036,8.2,1.44724897111879
0.005,0.04,0.04,8.05,1.31657666056288
0.005,0.05,0,12.2,100
0.005,0.05,0.005,7.3,3.44598969274018
0.005,0.05,0.01,6.5,2.33956419092295
0.005,0.05,0.015,6.5,1.71094209837875
0.005,0.05,0.02,6.35,1.30915876442902
0.005,0.05,0.025,6.4,1.6838447247628
0.005,0.05,0.03,6.5,1.48090497104301
0.005,0.05,0.035,6.1,1.15582886422438
0.005,0.05,0.04,6.2,1.14875649752719
0.005,0.05,0.045,6.3,1.11302875107129
0.005,0.05,0.05,6.4,1.12430603295789
0.005,0.06,0,11.2,100
0.005,0.06,0.006,6.05,3.48435556657957
0.005,0.06,0.012,5.9,2.03437771744414
0.005,0.06,0.018,5.65,1.64404339746748
0.005,0.06,0.024,5.55,1.85698175951438
0.005,0.06,0.03,5.35,1.3973505638245
0.005,0.06,0.036,5.2,0.850705214672439
0.005,0.06,0.042,5.5,0.695405094921345
0.005,0.06,0.048,5.5,0.954331470497632
0.005,0.06,0.054,5.7,0.956026101963787
0.005,0.06,0.06,5.55,0.508439277948075
0.005,0.07,0,10.25,100
0.005,0.07,0.007,5.85,2.59948026896909
0.005,0.07,0.014,5.15,1.92503669450897
0.005,0.07,0.021,4.85,1.37400145871944
0.005,0.07,0.028,4.9,1.02288527338384
0.005,0.07,0.035,4.9,1.05482018940843
0.005,0.07,0.042,4.8,0.942355123168415
0.005,0.07,0.049,4.85,0.560106535837627
0.005,0.07,0.056,4.7,0.994535888388397
0.005,0.07,0.063,4.8,0.727683823205325
0.005,0.07,0.07,4.95,0.47580499799737
0.005,0.08,0,9.4,100
0.005,0.08,0.008,5.15,2.41026844173702
0.005,0.08,0.016,4.75,1.58994967213011
0.005,0.08,0.024,4.55,0.958027537936001
0.005,0.08,0.032,4.25,0.949960966483459
0.005,0.08,0.04,4.3,0.920489506624286
0.005,0.08,0.048,4.1,0.528934814834474
0.005,0.08,0.056,4.4,0.546742281943263
0.005,0.08,0.064,4.3,0.515783189952218
0.005,0.08,0.072,4.15,0.403809346712365
0.005,0.08,0.08,4.3,0.445982560254712
0.005,0.09,0,8.9,100
0.005,0.09,0.009,5.05,3.84454195435069
0.005,0.09,0.018,4.3,0.965578982787805
0.005,0.09,0.027,3.95,0.689495312253861
0.005,0.09,0.036,3.85,0.725531563233336
0.005,0.09,0.045,3.95,0.629113240922797
0.005,0.09,0.054,4.1,0.504078538897797
0.005,0.09,0.063,3.8,0.391885160179687
0.005,0.09,0.072,4,0.412659163608802
0.005,0.09,0.081,3.8,0.371325427656013
0.005,0.09,0.09,3.7,0.340840801094966
0.005,0.1,0,8.45,100
0.005,0.1,0.01,4.3,2.70143155510439
0.005,0.1,0.02,3.9,0.981733358460156
0.005,0.1,0.03,3.8,0.789859947652181
0.005,0.1,0.04,3.65,0.760958929375495
0.005,0.1,0.05,3.6,0.615858743555755
0.005,0.1,0.06,3.35,0.548494707446195
0.005,0.1,0.07,3.65,0.285739796600795
0.005,0.1,0.08,3.6,0.412294537070231
0.005,0.1,0.09,3.45,0.402955977929381
0.005,0.1,0.1,3.65,0.524835411376508
0.01,0.01,0,30.4,100
0.01,0.01,0.001,27.75,37.7233514932622
0.01,0.01,0.002,25.9,26.0732583712731
0.01,0.01,0.003,26.2,24.4373290574382
0.01,0.01,0.004,25.75,19.1468654419008
0.01,0.01,0.005,26.85,19.1306625618121
0.01,0.01,0.006,26.65,14.8681705423863
0.01,0.01,0.007,25.95,15.4363775618087
0.01,0.01,0.008,26.75,13.4932505415461
0.01,0.01,0.009,26.1,12.1877447226997
0.01,0.01,0.01,28.2,14.1708930615684
0.01,0.02,0,19.2,100
0.01,0.02,0.002,15.75,23.0075061824435
0.01,0.02,0.004,14.05,15.4198504800844
0.01,0.02,0.006,13.95,11.4154417903996
0.01,0.02,0.008,13.9,8.2650969019855
0.01,0.02,0.01,14,8.18270768055565
0.01,0.02,0.012,14.9,8.7283804390684
0.01,0.02,0.014,14.1,7.13394743319516
0.01,0.02,0.016,14.6,6.91978296646613
0.01,0.02,0.018,14.25,6.13257656685205
0.01,0.02,0.02,15.35,6.83802584873357
0.01,0.03,0,14.8,100
0.01,0.03,0.003,11.1,14.4176527761115
0.01,0.03,0.006,10,8.85596106385786
0.01,0.03,0.009,10.1,7.46488096346338
0.01,0.03,0.012,9.85,7.19055205125384
0.01,0.03,0.015,9.5,4.71102418937791
0.01,0.03,0.018,9.95,4.77718206243496
0.01,0.03,0.021,10.05,4.36673113438425
0.01,0.03,0.024,10.1,4.67221644024255
0.01,0.03,0.027,9.95,3.70735404616017
0.01,0.03,0.03,10.6,3.84201500654901
0.01,0.04,0,13.05,100
0.01,0.04,0.004,8.75,11.0004183999889
0.01,0.04,0.008,7.8,6.84664656049293
0.01,0.04,0.012,7.65,5.57242384886923
0.01,0.04,0.016,7.7,4.58332746788444
0.01,0.04,0.02,7.5,2.84080303325567
0.01,0.04,0.024,7.9,3.41528151187697
0.01,0.04,0.028,7.7,3.04494000847332
0.01,0.04,0.032,7.6,3.46499797067557
0.01,0.04,0.036,7.75,2.82462741705865
0.01,0.04,0.04,7.9,2.0774456923605
0.01,0.05,0,10.6,100
0.01,0.05,0.005,7.4,9.85300259808313
0.01,0.05,0.01,6.5,5.0256444054021
0.01,0.05,0.015,6.35,3.65128174338278
0.01,0.05,0.02,6.55,3.48603423584388
0.01,0.05,0.025,5.85,2.26497584686905
0.01,0.05,0.03,6.35,2.57978964168493
0.01,0.05,0.035,6.45,2.72263910195578
0.01,0.05,0.04,6.25,1.97364925878655
0.01,0.05,0.045,6.6,1.98244674623094
