Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,64.95,0
0,0.01,0.002,60.2,0
0,0.01,0.003,60.3,0
0,0.01,0.004,58.65,0
0,0.01,0.005,56.95,0
0,0.01,0.006,59.9,0
0,0.01,0.007,58.9,0
0,0.01,0.008,61.15,0
0,0.01,0.009,63.7,0
0,0.01,0.01,62.95,0
0,0.02,0.002,33.15,0
0,0.02,0.004,31.3,0
0,0.02,0.006,30.85,0
0,0.02,0.008,30.3,0
0,0.02,0.01,28.95,0
0,0.02,0.012,30.25,0
0,0.02,0.014,31.5,0
0,0.02,0.016,31.75,0
0,0.02,0.018,32.25,0
0,0.02,0.02,31.1,0
0,0.03,0.003,23,0
0,0.03,0.006,21.35,0
0,0.03,0.009,20.1,0
0,0.03,0.012,20.95,0
0,0.03,0.015,19.85,0
0,0.03,0.018,19.7,0
0,0.03,0.021,20.35,0
0,0.03,0.024,20.5,0
0,0.03,0.027,20.9,0
0,0.03,0.03,21,0
0,0.04,0.004,17.35,0
0,0.04,0.008,16.3,0
0,0.04,0.012,15.6,0
0,0.04,0.016,14.6,0
0,0.04,0.02,15.1,0
0,0.04,0.024,15.3,0
0,0.04,0.028,15.7,0
0,0.04,0.032,16.1,0
0,0.04,0.036,16.05,0
0,0.04,0.04,16,0
0,0.05,0.005,14.55,0
0,0.05,0.01,12.95,0
0,0.05,0.015,12.75,0
0,0.05,0.02,12.9,0
0,0.05,0.025,12.15,0
0,0.05,0.03,12.1,0
0,0.05,0.035,12.8,0
0,0.05,0.04,12.5,0
0,0.05,0.045,12.9,0
0,0.05,0.05,12.75,0
0,0.06,0.006,12.4,0
0,0.06,0.012,10.95,0
0,0.06,0.018,10.6,0
0,0.06,0.024,10.4,0
0,0.06,0.03,10.45,0
0,0.06,0.036,10.1,0
0,0.06,0.042,10.2,0
0,0.06,0.048,10.35,0
0,0.06,0.054,10.8,0
0,0.06,0.06,10.8,0
0,0.07,0.007,11.05,0
0,0.07,0.014,9.6,0
0,0.07,0.021,9.2,0
0,0.07,0.028,9.05,0
0,0.07,0.035,8.75,0
0,0.07,0.042,8.9,0
0,0.07,0.049,9.35,0
0,0.07,0.056,9.1,0
0,0.07,0.063,9.35,0
0,0.07,0.07,9.15,0
0,0.08,0.008,9.7,0
0,0.08,0.016,8.5,0
0,0.08,0.024,8.3,0
0,0.08,0.032,8.1,0
0,0.08,0.04,8,0
0,0.08,0.048,7.9,0
0,0.08,0.056,8.05,0
0,0.08,0.064,8.05,0
0,0.08,0.072,8.4,0
0,0.08,0.08,8.35,0
0,0.09,0.009,8.6,0
0,0.09,0.018,7.85,0
0,0.09,0.027,7.65,0
0,0.09,0.036,7.05,0
0,0.09,0.045,7,0
0,0.09,0.054,7.1,0
0,0.09,0.063,7.2,0
0,0.09,0.072,7.1,0
0,0.09,0.081,7.2,0
0,0.09,0.09,7.65,0
0,0.1,0.01,7.85,0
0,0.1,0.02,6.9,0
0,0.1,0.03,6.7,0
0,0.1,0.04,6.6,0
0,0.1,0.05,6.5,0
0,0.1,0.06,6.2,0
0,0.1,0.07,6.35,0
0,0.1,0.08,6.4,0
0,0.1,0.09,6.6,0
0,0.1,0.1,6.35,0
0.005,0.01,0,68.15,100
0.005,0.01,0.001,58.15,44.5335572256216
0.005,0.01,0.002,54.9,25.9945309104683
0.005,0.01,0.003,53.3,21.8083786647056
0.005,0.01,0.004,53.45,19.6290674035788
0.005,0.01,0.005,51.4,17.6419075854918
0.005,0.01,0.006,52.2,15.8002618034024
0.005,0.01,0.007,56.05,15.7678138186754
0.005,0.01,0.008,54.8,14.5171922479767
0.005,0.01,0.009,56.9,14.972864200663
0.005,0.01,0.01,57.4,13.404688396101
0.005,0.02,0,40.05,100
0.005,0.02,0.002,31.65,22.6843849169606
0.005,0.02,0.004,29.55,14.8720788990334
0.005,0.02,0.006,29.05,12.4421321232386
0.005,0.02,0.008,27.85,10.0814807315086
0.005,0.02,0.01,28.7,7.40339821238498
0.005,0.02,0.012,29.4,8.81017407968229
0.005,0.02,0.014,28.8,8.25385742659778
0.005,0.02,0.016,28.75,6.69341068881737
0.005,0.02,0.018,29.8,7.78154788564456
0.005,0.02,0.02,30.35,7.05820495235037
0.005,0.03,0,29,100
0.005,0.03,0.003,21.65,16.2212418750417
0.005,0.03,0.006,20.8,12.1432174234419
0.005,0.03,0.009,20.05,9.63201787339619
0.005,0.03,0.012,19,7.51737147219759
0.005,0.03,0.015,19.45,6.06405463118008
0.005,0.03,0.018,19,5.13033347098421
0.005,0.03,0.021,19.1,5.30285102521434
0.005,0.03,0.024,20.35,5.06219479738819
0.005,0.03,0.027,20.15,4.51086752558374
0.005,0.03,0.03,20.3,4.28140795741748
0.005,0.04,0,22.9,100
0.005,0.04,0.004,16.95,15.8748272334497
0.005,0.04,0.008,15.85,7.4793370061699
0.005,0.04,0.012,15.55,5.32687005560773
0.005,0.04,0.016,14.7,4.54146563537745
0.005,0.04,0.02,15,4.31013405132073
0.005,0.04,0.024,15.05,3.17068581887625
0.005,0.04,0.028,14.9,4.04269020526463
0.005,0.04,0.032,15.15,4.02508842788466
0.005,0.04,0.036,15.9,3.34728238543516
0.005,0.04,0.04,15.95,3.28181807849944
0.005,0.05,0,20.9,100
0.005,0.05,0.005,14.05,11.2909273007571
0.005,0.05,0.01,12.55,5.95924568795647
0.005,0.05,0.015,12.5,4.90226823844077
0.005,0.05,0.02,12.1,3.50794823172431
0.005,0.05,0.025,11.65,3.13327142755442
0.005,0.05,0.03,12.6,2.83735278103838
0.005,0.05,0.035,12.6,2.3789118022992
0.005,0.05,0.04,12.85,2.80454332231376
0.005,0.05,0.045,12.2,2.59611734637585
0.005,0.05,0.05,12.65,2.82039507709298
0.005,0.06,0,16.9,100
0.005,0.06,0.006,11.9,8.89545079516525
0.005,0.06,0.012,10.9,5.14665775859311
0.005,0.06,0.018,10.25,3.76342977449081
0.005,0.06,0.024,10.1,3.43598840895031
0.005,0.06,0.03,10.1,3.67158341215049
0.005,0.06,0.036,10.25,2.25325971450506
0.005,0.06,0.042,10.45,1.90132795496566
0.005,0.06,0.048,10,1.60969575764336
0.005,0.06,0.054,10.65,2.0673800100919
0.005,0.06,0.06,10.9,1.8716112065819
0.005,0.07,0,16.3,100
0.005,0.07,0.007,10.2,4.39729145188623
0.005,0.07,0.014,9.55,4.13379867651275
0.005,0.07,0.021,8.95,3.14353870400632
0.005,0.07,0.028,8.85,2.80219698535186
0.005,0.07,0.035,8.8,2.90848501491489
0.005,0.07,0.042,9.1,1.92882227327463
0.005,0.07,0.049,8.6,1.95023563498404
0.005,0.07,0.056,9.1,2.07204479866421
0.005,0.07,0.063,9.15,1.52661960156614
0.005,0.07,0.07,9.2,1.82585576527349
0.005,0.08,0,13.8,100
0.005,0.08,0.008,9.45,7.68965317185925
0.005,0.08,0.016,8.5,3.86531814797778
0.005,0.08,0.024,8.2,2.37061636010082
0.005,0.08,0.032,8,2.77806864189923
0.005,0.08,0.04,7.8,1.93582893031035
0.005,0.08,0.048,7.65,1.97543783958234
0.005,0.08,0.056,7.9,1.77154435763414
0.005,0.08,0.064,7.65,1.33732832904545
0.005,0.08,0.072,8,1.30520533420965
0.005,0.08,0.08,8,1.28544122452036
0.005,0.09,0,13.45,100
0.005,0.09,0.009,8.7,5.11259079834089
0.005,0.09,0.018,7.7,3.39827691702687
0.005,0.09,0.027,7.15,2.50878659996138
0.005,0.09,0.036,6.85,1.64343345109774
0.005,0.09,0.045,7,1.26849139892872
0.005,0.09,0.054,7.35,1.11367856112057
0.005,0.09,0.063,6.9,1.33322466850939
0.005,0.09,0.072,7.1,1.18793383519727
0.005,0.09,0.081,7.4,1.23978268507185
0.005,0.09,0.09,7.2,1.40960261055712
0.005,0.1,0,13,100
0.005,0.1,0.01,7.7,3.53562543215355
0.005,0.1,0.02,7.25,2.9406762496667
0.005,0.1,0.03,6.8,2.10505504233413
0.005,0.1,0.04,6.45,2.1173281062868
0.005,0.1,0.05,6.4,1.2453072343878
0.005,0.1,0.06,6.5,1.43639227063646
0.005,0.1,0.07,6.35,1.2406483060382
0.005,0.1,0.08,6.45,0.810062245003908
0.005,0.1,0.09,6.45,0.958759500553639
0.005,0.1,0.1,6.5,1.02986678984792
0.01,0.01,0,54.1,100
0.01,0.01,0.001,50.25,61.9483058310583
0.01,0.01,0.002,49.95,43.9640512043408
0.01,0.01,0.003,47.15,36.9402262386312
0.01,0.01,0.004,48,32.3032333096385
0.01,0.01,0.005,49.35,30.0183077662536
0.01,0.01,0.006,49.8,29.0170265467093
0.01,0.01,0.007,49.9,26.9810414808864
0.01,0.01,0.008,48.9,26.6457018419216
0.01,0.01,0.009,51.1,24.3801680132586
0.01,0.01,0.01,52.8,26.540110090952
0.01,0.02,0,33.65,100
0.01,0.02,0.002,29.7,37.6865620796989
0.01,0.02,0.004,28.05,27.6524241780556
0.01,0.02,0.006,26.6,22.2671639514446
0.01,0.02,0.008,27.15,19.4401748214308
0.01,0.02,0.01,26.9,16.8088851434895
0.01,0.02,0.012,27.6,16.1819021069752
0.01,0.02,0.014,27.3,14.8305104499132
0.01,0.02,0.016,28.2,12.8552676256516
0.01,0.02,0.018,27.65,13.0889594500495
0.01,0.02,0.02,28.7,12.3748863897981
0.01,0.03,0,25.85,100
0.01,0.03,0.003,20.8,32.0272716930888
0.01,0.03,0.006,18.9,19.8612476561948
0.01,0.03,0.009,19.25,17.1116241072605
0.01,0.03,0.012,18.25,12.8286167312912
0.01,0.03,0.015,18.75,11.4334900671413
0.01,0.03,0.018,18.6,10.6544724838544
0.01,0.03,0.021,18.5,10.0565276266104
0.01,0.03,0.024,19.7,8.90801603374365
0.01,0.03,0.027,19.7,8.9167583325351
0.01,0.03,0.03,19.95,8.71929480911862
0.01,0.04,0,19.6,100
0.01,0.04,0.004,16.2,25.5962120134258
0.01,0.04,0.008,15,16.3047522164339
0.01,0.04,0.012,14.7,11.9525942165508
0.01,0.04,0.016,14.55,8.62971294304134
0.01,0.04,0.02,14.55,9.31873546855944
0.01,0.04,0.024,14.45,7.45400715736633
0.01,0.04,0.028,14.5,6.15740031927841
0.01,0.04,0.032,14.65,6.59178678931605
0.01,0.04,0.036,14.9,6.56368934879494
0.01,0.04,0.04,15.35,6.42280563022842
0.01,0.05,0,17.6,100
