Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,111.55,0
0,0.01,0.002,110.25,0
0,0.01,0.003,102.1,0
0,0.01,0.004,102.1,0
0,0.01,0.005,101.4,0
0,0.01,0.006,101.65,0
0,0.01,0.007,103.4,0
0,0.01,0.008,106.3,0
0,0.01,0.009,112.4,0
0,0.01,0.01,111.1,0
0,0.02,0.002,56.75,0
0,0.02,0.004,53.05,0
0,0.02,0.006,51.7,0
0,0.02,0.008,52.35,0
0,0.02,0.01,51.4,0
0,0.02,0.012,53.85,0
0,0.02,0.014,52.65,0
0,0.02,0.016,54.15,0
0,0.02,0.018,55.5,0
0,0.02,0.02,56.35,0
0,0.03,0.003,39.8,0
0,0.03,0.006,35.65,0
0,0.03,0.009,35,0
0,0.03,0.012,34.4,0
0,0.03,0.015,34.2,0
0,0.03,0.018,35.5,0
0,0.03,0.021,36.95,0
0,0.03,0.024,35.55,0
0,0.03,0.027,36.45,0
0,0.03,0.03,38.2,0
0,0.04,0.004,29.2,0
0,0.04,0.008,27.45,0
0,0.04,0.012,26.25,0
0,0.04,0.016,25.8,0
0,0.04,0.02,25.75,0
0,0.04,0.024,26.25,0
0,0.04,0.028,27.4,0
0,0.04,0.032,27.9,0
0,0.04,0.036,28.2,0
0,0.04,0.04,28.35,0
0,0.05,0.005,23.7,0
0,0.05,0.01,22.1,0
0,0.05,0.015,21.7,0
0,0.05,0.02,22.4,0
0,0.05,0.025,20.95,0
0,0.05,0.03,21.1,0
0,0.05,0.035,21.3,0
0,0.05,0.04,21.7,0
0,0.05,0.045,21.85,0
0,0.05,0.05,22.05,0
0,0.06,0.006,20.15,0
0,0.06,0.012,18.8,0
0,0.06,0.018,17.6,0
0,0.06,0.024,17.15,0
0,0.06,0.03,17.2,0
0,0.06,0.036,17.25,0
0,0.06,0.042,18.35,0
0,0.06,0.048,18.35,0
0,0.06,0.054,18.45,0
0,0.06,0.06,18.4,0
0,0.07,0.007,17.3,0
0,0.07,0.014,16,0
0,0.07,0.021,15.4,0
0,0.07,0.028,15.45,0
0,0.07,0.035,14.95,0
0,0.07,0.042,15.1,0
0,0.07,0.049,15.2,0
0,0.07,0.056,15.55,0
0,0.07,0.063,15.3,0
0,0.07,0.07,16.1,0
0,0.08,0.008,15.4,0
0,0.08,0.016,14.1,0
0,0.08,0.024,13.65,0
0,0.08,0.032,12.95,0
0,0.08,0.04,13.5,0
0,0.08,0.048,13.6,0
0,0.08,0.056,13.3,0
0,0.08,0.064,13.6,0
0,0.08,0.072,14,0
0,0.08,0.08,14,0
0,0.09,0.009,13.8,0
0,0.09,0.018,12.5,0
0,0.09,0.027,11.9,0
0,0.09,0.036,11.95,0
0,0.09,0.045,11.8,0
0,0.09,0.054,11.9,0
0,0.09,0.063,12.25,0
0,0.09,0.072,12.05,0
0,0.09,0.081,12.6,0
0,0.09,0.09,12.8,0
0,0.1,0.01,12.5,0
0,0.1,0.02,11.5,0
0,0.1,0.03,10.75,0
0,0.1,0.04,10.8,0
0,0.1,0.05,10.7,0
0,0.1,0.06,10.75,0
0,0.1,0.07,10.85,0
0,0.1,0.08,11.3,0
0,0.1,0.09,10.9,0
0,0.1,0.1,11.35,0
0.005,0.01,0,99.85,100
0.005,0.01,0.001,89.45,57.268809834427
0.005,0.01,0.002,86.85,43.3880939863532
0.005,0.01,0.003,85.55,33.6198333446636
0.005,0.01,0.004,84.65,30.6150173343088
0.005,0.01,0.005,84.75,26.6500226240778
0.005,0.01,0.006,89.05,25.4399655260979
0.005,0.01,0.007,87.7,23.925055285272
0.005,0.01,0.008,89.35,24.5419068388693
0.005,0.01,0.009,93.55,21.6139977209023
0.005,0.01,0.01,95.7,22.7989728497605
0.005,0.02,0,60.2,100
0.005,0.02,0.002,49.6,33.2687250385564
0.005,0.02,0.004,46.65,24.1202112757315
0.005,0.02,0.006,45.95,20.2380165891411
0.005,0.02,0.008,47.25,16.2753507060847
0.005,0.02,0.01,47.7,15.5971448690083
0.005,0.02,0.012,47.85,13.2426883149645
0.005,0.02,0.014,47.8,13.8409698211691
0.005,0.02,0.016,49.3,13.072431124055
0.005,0.02,0.018,51.4,12.5553330700039
0.005,0.02,0.02,51.55,11.6564801424816
0.005,0.03,0,44.4,100
0.005,0.03,0.003,35.75,24.7142408535713
0.005,0.03,0.006,32.5,19.2486166949221
0.005,0.03,0.009,32.55,13.4972207558065
0.005,0.03,0.012,32.85,13.1636828036858
0.005,0.03,0.015,32.1,9.34052243005485
0.005,0.03,0.018,33.3,8.2148603812245
0.005,0.03,0.021,33.65,7.65938587832559
0.005,0.03,0.024,33.4,8.37378715394174
0.005,0.03,0.027,34.85,8.00866718212134
0.005,0.03,0.03,34.95,7.81505715771096
0.005,0.04,0,36.2,100
0.005,0.04,0.004,27.85,19.8812301650659
0.005,0.04,0.008,26.2,12.444708852478
0.005,0.04,0.012,25.55,10.1155567136696
0.005,0.04,0.016,24.85,7.9461252530801
0.005,0.04,0.02,24.8,6.37907733609851
0.005,0.04,0.024,25.7,6.283025672703
0.005,0.04,0.028,25.6,7.09075334213587
0.005,0.04,0.032,26.25,5.38803531407483
0.005,0.04,0.036,25.75,5.35379699357718
0.005,0.04,0.04,26.45,6.47246699834016
0.005,0.05,0,29.5,100
0.005,0.05,0.005,22.65,17.17641277762
0.005,0.05,0.01,21,11.6016273557968
0.005,0.05,0.015,20.4,7.71767086366903
0.005,0.05,0.02,20.2,7.2987455119429
0.005,0.05,0.025,20.85,6.04576522737617
0.005,0.05,0.03,20,5.34378130571352
0.005,0.05,0.035,20.75,5.45505467174816
0.005,0.05,0.04,20.8,5.86854256216098
0.005,0.05,0.045,20.65,5.07744199504638
0.005,0.05,0.05,20.85,4.76054046161709
0.005,0.06,0,26.3,100
0.005,0.06,0.006,19.65,14.3518695344637
0.005,0.06,0.012,17.55,8.81532017247506
0.005,0.06,0.018,17.05,6.55770643565814
0.005,0.06,0.024,17.05,6.05815403180087
0.005,0.06,0.03,17.45,6.39836272632333
0.005,0.06,0.036,17.75,4.66385341597173
0.005,0.06,0.042,17.25,3.24633626688971
0.005,0.06,0.048,18,4.75422917985691
0.005,0.06,0.054,18.2,3.92640405829318
0.005,0.06,0.06,19,3.70950792401282
0.005,0.07,0,23.5,100
0.005,0.07,0.007,16.55,12.9833158396634
0.005,0.07,0.014,15.15,6.54329993343239
0.005,0.07,0.021,14.95,5.23197637432508
0.005,0.07,0.028,14.9,4.75063781028252
0.005,0.07,0.035,14.6,4.83476564017876
0.005,0.07,0.042,15.1,3.78415724211956
0.005,0.07,0.049,15.2,3.12880726801887
0.005,0.07,0.056,15.05,3.50161543469857
0.005,0.07,0.063,15.85,3.4791573846674
0.005,0.07,0.07,15.7,3.05639229799054
0.005,0.08,0,21,100
0.005,0.08,0.008,14.75,9.40668802040668
0.005,0.08,0.016,13.6,5.73703737066853
0.005,0.08,0.024,13.35,5.37563870957143
0.005,0.08,0.032,13.05,4.38516843324771
0.005,0.08,0.04,12.55,3.57497434305941
0.005,0.08,0.048,12.9,3.43454216203672
0.005,0.08,0.056,12.9,2.9011589114079
0.005,0.08,0.064,13.85,2.79544618780053
0.005,0.08,0.072,13.7,2.60671684219244
0.005,0.08,0.08,13.55,2.49130081731482
0.005,0.09,0,19.35,100
0.005,0.09,0.009,13.35,9.67892109399945
0.005,0.09,0.018,12.4,5.15985856790591
0.005,0.09,0.027,11.45,3.03001193442723
0.005,0.09,0.036,11.7,3.84758124635434
0.005,0.09,0.045,11.85,3.05777700161135
0.005,0.09,0.054,11.7,2.69053688266745
0.005,0.09,0.063,11.55,2.61831783251279
0.005,0.09,0.072,12.2,2.8925494024148
0.005,0.09,0.081,12,2.30090198897148
0.005,0.09,0.09,12.45,2.62510387050155
0.005,0.1,0,18.25,100
0.005,0.1,0.01,12.5,7.56225640483
0.005,0.1,0.02,10.95,5.76761704869968
0.005,0.1,0.03,10.9,4.71218768156948
0.005,0.1,0.04,11,2.87611571323343
0.005,0.1,0.05,10.5,2.69358057110641
0.005,0.1,0.06,10.5,2.78812593437946
0.005,0.1,0.07,10.8,2.53864345925822
0.005,0.1,0.08,10.95,2.1508449413147
0.005,0.1,0.09,10.95,2.13361650725996
0.005,0.1,0.1,10.95,1.90168754172624
0.01,0.01,0,77.8,100
0.01,0.01,0.001,74,71.720470537108
0.01,0.01,0.002,73.5,57.323830872092
0.01,0.01,0.003,74.4,49.8142973252986
0.01,0.01,0.004,73.5,46.0998950478845
0.01,0.01,0.005,75.85,43.5314338878696
0.01,0.01,0.006,75.15,41.301375945541
0.01,0.01,0.007,74.45,38.0988721804511
0.01,0.01,0.008,79.15,37.6402193979214
0.01,0.01,0.009,79.2,36.6919973759158
0.01,0.01,0.01,80.6,35.948984831715
0.01,0.02,0,50.25,100
0.01,0.02,0.002,45.15,52.5797398766946
0.01,0.02,0.004,44.1,39.0192370702788
0.01,0.02,0.006,43.35,31.8236217583542
0.01,0.02,0.008,41.95,27.0170051469777
0.01,0.02,0.01,41.8,26.9513240454813
0.01,0.02,0.012,43.6,24.954061846755
0.01,0.02,0.014,44.5,23.8710969695883
0.01,0.02,0.016,44.85,21.9375663075558
0.01,0.02,0.018,46.25,21.324581153216
0.01,0.02,0.02,47.95,21.4461498418671
0.01,0.03,0,37.5,100
0.01,0.03,0.003,32.4,41.7413027790596
0.01,0.03,0.006,31.5,27.4503563848466
0.01,0.03,0.009,29.5,23.3714277859862
0.01,0.03,0.012,31,20.7443746318883
0.01,0.03,0.015,30.25,18.560236490475
0.01,0.03,0.018,32.05,17.1557858814436
0.01,0.03,0.021,30.75,16.8807579247144
0.01,0.03,0.024,31.85,15.3515153032415
0.01,0.03,0.027,32.25,14.3762847059255
0.01,0.03,0.03,33.25,14.3928502105817
0.01,0.04,0,30.65,100
0.01,0.04,0.004,24.9,32.7904601140588
0.01,0.04,0.008,24.5,23.3760778429539
0.01,0.04,0.012,23.9,18.2742226829873
0.01,0.04,0.016,23.6,14.4815322031461
0.01,0.04,0.02,23.7,14.6437018238028
0.01,0.04,0.024,24.55,12.4945600242793
0.01,0.04,0.028,24.35,12.5557017405705
0.01,0.04,0.032,23.7,11.2372445462175
0.01,0.04,0.036,24.9,11.4970968532731
0.01,0.04,0.04,24.8,11.0503921906746
0.01,0.05,0,26.3,100
0.01,0.05,0.005,21.25,28.8457092631095
0.01,0.05,0.01,20.25,19.7593363588385
0.01,0.05,0.015,19.75,17.4329961415831
0.01,0.05,0.02,19.45,12.9442485697564
0.01,0.05,0.025,19.85,12.5178239092311
0.01,0.05,0.03,19.55,10.39006714767
0.01,0.05,0.035,20.75,10.5672216572693
0.01,0.05,0.04,20.55,8.98166653192434
0.01,0.05,0.045,19.8,9.36288837724268
0.01,0.05,0.05,21.2,9.32129927661376
0.01,0.06,0,23.25,100
0.01,0.06,0.006,17.9,25.0481466464122
0.01,0.06,0.012,16.75,15.5422081866673
0.01,0.06,0.018,16.75,13.9263193420272
0.01,0.06,0.024,16.4,10.2654992792943
0.01,0.06,0.03,16.3,10.1459580860828
0.01,0.06,0.036,16.35,8.68513805620963
0.01,0.06,0.042,17.4,7.99833827545517
0.01,0.06,0.048,17.15,8.71709122142369
0.01,0.06,0.054,17.4,7.79104296894411
0.01,0.06,0.06,17.2,7.41928254749361
0.01,0.07,0,20.1,100
0.01,0.07,0.007,16.4,22.7952444178368
0.01,0.07,0.014,15.15,12.9328095535676
0.01,0.07,0.021,14.75,10.1062565850269
0.01,0.07,0.028,14.55,9.0608089707667
0.01,0.07,0.035,14.2,8.11939495800874
0.01,0.07,0.042,14.7,6.80435734657128
0.01,0.07,0.049,14.7,6.15886469801144
0.01,0.07,0.056,14.85,6.78822220910668
0.01,0.07,0.063,15,6.63445895432162
0.01,0.07,0.07,15.25,5.83347369050991
0.01,0.08,0,18.95,100
0.01,0.08,0.008,14.35,18.257405336473
0.01,0.08,0.016,13.35,10.7179302536096
0.01,0.08,0.024,12.95,9.30687701966576
0.01,0.08,0.032,12.7,8.18869474655764
0.01,0.08,0.04,12.85,6.63693366893053
0.01,0.08,0.048,12.9,6.44248721619834
