Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,42.05,0
0,0.01,0.002,37,0
0,0.01,0.003,33.85,0
0,0.01,0.004,36.4,0
0,0.01,0.005,36.6,0
0,0.01,0.006,37.6,0
0,0.01,0.007,37.55,0
0,0.01,0.008,38.95,0
0,0.01,0.009,38.7,0
0,0.01,0.01,37.2,0
0,0.02,0.002,21.35,0
0,0.02,0.004,17.9,0
0,0.02,0.006,18.4,0
0,0.02,0.008,17.9,0
0,0.02,0.01,18.45,0
0,0.02,0.012,18.95,0
0,0.02,0.014,20,0
0,0.02,0.016,19.4,0
0,0.02,0.018,19.45,0
0,0.02,0.02,19.5,0
0,0.03,0.003,14.3,0
0,0.03,0.006,13.35,0
0,0.03,0.009,12.6,0
0,0.03,0.012,12.35,0
0,0.03,0.015,12.15,0
0,0.03,0.018,12.25,0
0,0.03,0.021,13.15,0
0,0.03,0.024,13.15,0
0,0.03,0.027,13.1,0
0,0.03,0.03,13.05,0
0,0.04,0.004,11.3,0
0,0.04,0.008,10.25,0
0,0.04,0.012,10.05,0
0,0.04,0.016,9.35,0
0,0.04,0.02,9.15,0
0,0.04,0.024,9.7,0
0,0.04,0.028,9.95,0
0,0.04,0.032,9.95,0
0,0.04,0.036,9.85,0
0,0.04,0.04,10.25,0
0,0.05,0.005,9.2,0
0,0.05,0.01,8.5,0
0,0.05,0.015,8,0
0,0.05,0.02,7.95,0
0,0.05,0.025,7.55,0
0,0.05,0.03,7.75,0
0,0.05,0.035,7.85,0
0,0.05,0.04,8,0
0,0.05,0.045,7.7,0
0,0.05,0.05,7.85,0
0,0.06,0.006,7.8,0
0,0.06,0.012,6.9,0
0,0.06,0.018,6.7,0
0,0.06,0.024,6.5,0
0,0.06,0.03,6.8,0
0,0.06,0.036,6.5,0
0,0.06,0.042,6.8,0
0,0.06,0.048,6.75,0
0,0.06,0.054,6.65,0
0,0.06,0.06,6.85,0
0,0.07,0.007,7,0
0,0.07,0.014,6.15,0
0,0.07,0.021,5.85,0
0,0.07,0.028,5.9,0
0,0.07,0.035,5.8,0
0,0.07,0.042,5.95,0
0,0.07,0.049,5.9,0
0,0.07,0.056,5.9,0
0,0.07,0.063,5.7,0
0,0.07,0.07,6.15,0
0,0.08,0.008,6.4,0
0,0.08,0.016,5.7,0
0,0.08,0.024,5.15,0
0,0.08,0.032,5.1,0
0,0.08,0.04,5,0
0,0.08,0.048,5.05,0
0,0.08,0.056,5.25,0
0,0.08,0.064,5.1,0
0,0.08,0.072,5.05,0
0,0.08,0.08,5.1,0
0,0.09,0.009,5.65,0
0,0.09,0.018,5.25,0
0,0.09,0.027,4.7,0
0,0.09,0.036,4.75,0
0,0.09,0.045,4.65,0
0,0.09,0.054,4.7,0
0,0.09,0.063,4.65,0
0,0.09,0.072,4.65,0
0,0.09,0.081,4.95,0
0,0.09,0.09,4.9,0
0,0.1,0.01,5.5,0
0,0.1,0.02,4.9,0
0,0.1,0.03,4.4,0
0,0.1,0.04,4.3,0
0,0.1,0.05,4.1,0
0,0.1,0.06,4.3,0
0,0.1,0.07,4.15,0
0,0.1,0.08,4.2,0
0,0.1,0.09,4.25,0
0,0.1,0.1,4.25,0
0.005,0.01,0,44.95,100
0.005,0.01,0.001,36.65,35.9016236481627
0.005,0.01,0.002,35.55,24.7814039525759
0.005,0.01,0.003,34.8,13.8458494214774
0.005,0.01,0.004,33.95,12.1175471816429
0.005,0.01,0.005,34.95,10.9834902616373
0.005,0.01,0.006,35.05,9.88822107619207
0.005,0.01,0.007,35.55,10.7850072175981
0.005,0.01,0.008,35.2,10.1732738049993
0.005,0.01,0.009,36.45,10.1197387923152
0.005,0.01,0.01,36.7,8.7879094573126
0.005,0.02,0,26.85,100
0.005,0.02,0.002,20.05,17.8208311816628
0.005,0.02,0.004,18.4,9.54543329540395
0.005,0.02,0.006,18.6,7.15100323418825
0.005,0.02,0.008,17.55,5.38645329894488
0.005,0.02,0.01,18.15,4.80886935202912
0.005,0.02,0.012,18.45,4.18397092338231
0.005,0.02,0.014,18.25,4.34447910319997
0.005,0.02,0.016,18.85,4.79946210646333
0.005,0.02,0.018,18.75,4.37477191158162
0.005,0.02,0.02,18.7,4.15872725647131
0.005,0.03,0,20.75,100
0.005,0.03,0.003,14.05,10.5472666508225
0.005,0.03,0.006,12.95,7.05273276828774
0.005,0.03,0.009,12.5,5.00435258116384
0.005,0.03,0.012,12.1,3.51247370483781
0.005,0.03,0.015,12.3,3.78491142994127
0.005,0.03,0.018,12.05,3.49908459307146
0.005,0.03,0.021,12.2,2.78330290217502
0.005,0.03,0.024,12.35,2.6902240260847
