Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,41.4,0
0,0.01,0.002,37,0
0,0.01,0.003,36.25,0
0,0.01,0.004,34.8,0
0,0.01,0.005,36,0
0,0.01,0.006,36.1,0
0,0.01,0.007,38.1,0
0,0.01,0.008,37,0
0,0.01,0.009,38.6,0
0,0.01,0.01,38.3,0
0,0.02,0.002,21.05,0
0,0.02,0.004,19.05,0
0,0.02,0.006,17.65,0
0,0.02,0.008,18.65,0
0,0.02,0.01,18.55,0
0,0.02,0.012,18.4,0
0,0.02,0.014,19.15,0
0,0.02,0.016,18.75,0
0,0.02,0.018,19.3,0
0,0.02,0.02,20.4,0
0,0.03,0.003,14.9,0
0,0.03,0.006,12.9,0
0,0.03,0.009,12.45,0
0,0.03,0.012,12.65,0
0,0.03,0.015,12.6,0
0,0.03,0.018,12.95,0
0,0.03,0.021,13.4,0
0,0.03,0.024,13,0
0,0.03,0.027,12.9,0
0,0.03,0.03,13.4,0
0,0.04,0.004,10.75,0
0,0.04,0.008,9.75,0
0,0.04,0.012,9.8,0
0,0.04,0.016,9.75,0
0,0.04,0.02,9.4,0
0,0.04,0.024,9.65,0
0,0.04,0.028,9.9,0
0,0.04,0.032,9.55,0
0,0.04,0.036,9.75,0
0,0.04,0.04,10,0
0,0.05,0.005,9.2,0
0,0.05,0.01,8.45,0
0,0.05,0.015,8.15,0
0,0.05,0.02,8.1,0
0,0.05,0.025,7.9,0
0,0.05,0.03,7.65,0
0,0.05,0.035,7.9,0
0,0.05,0.04,8,0
0,0.05,0.045,8.1,0
0,0.05,0.05,8.4,0
0,0.06,0.006,7.7,0
0,0.06,0.012,7.1,0
0,0.06,0.018,6.85,0
0,0.06,0.024,6.6,0
0,0.06,0.03,6.7,0
0,0.06,0.036,6.3,0
0,0.06,0.042,6.55,0
0,0.06,0.048,6.7,0
0,0.06,0.054,6.9,0
0,0.06,0.06,6.9,0
0,0.07,0.007,6.9,0
0,0.07,0.014,6.3,0
0,0.07,0.021,6.15,0
0,0.07,0.028,5.9,0
0,0.07,0.035,5.7,0
0,0.07,0.042,5.8,0
0,0.07,0.049,5.6,0
0,0.07,0.056,5.8,0
0,0.07,0.063,5.85,0
0,0.07,0.07,5.85,0
0,0.08,0.008,6.15,0
0,0.08,0.016,5.65,0
0,0.08,0.024,5.1,0
