Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,34,0
0,0.01,0.002,30.4,0
0,0.01,0.003,29.15,0
0,0.01,0.004,28.05,0
0,0.01,0.005,28.35,0
0,0.01,0.006,29.05,0
0,0.01,0.007,28.9,0
0,0.01,0.008,30.75,0
0,0.01,0.009,30.25,0
0,0.01,0.01,30.25,0
0,0.02,0.002,16.1,0
0,0.02,0.004,15.6,0
0,0.02,0.006,15.35,0
0,0.02,0.008,13.9,0
0,0.02,0.01,14.5,0
0,0.02,0.012,15.3,0
0,0.02,0.014,15.15,0
0,0.02,0.016,15.25,0
0,0.02,0.018,15.3,0
0,0.02,0.02,16.1,0
0,0.03,0.003,10.7,0
0,0.03,0.006,10.45,0
0,0.03,0.009,10.4,0
0,0.03,0.012,10.1,0
0,0.03,0.015,10.1,0
0,0.03,0.018,10.2,0
0,0.03,0.021,9.7,0
0,0.03,0.024,10.25,0
0,0.03,0.027,10.45,0
0,0.03,0.03,10.8,0
0,0.04,0.004,8.95,0
0,0.04,0.008,8.15,0
0,0.04,0.012,7.85,0
0,0.04,0.016,7.8,0
0,0.04,0.02,8.05,0
0,0.04,0.024,7.65,0
0,0.04,0.028,7.6,0
0,0.04,0.032,8.05,0
0,0.04,0.036,8.05,0
0,0.04,0.04,8.25,0
0,0.05,0.005,7.35,0
0,0.05,0.01,6.75,0
0,0.05,0.015,6.4,0
0,0.05,0.02,6.35,0
0,0.05,0.025,6.75,0
0,0.05,0.03,6.5,0
0,0.05,0.035,6.3,0
0,0.05,0.04,6.3,0
0,0.05,0.045,6.65,0
0,0.05,0.05,6.5,0
0,0.06,0.006,6.7,0
0,0.06,0.012,6,0
0,0.06,0.018,5.5,0
0,0.06,0.024,5.6,0
0,0.06,0.03,5.5,0
0,0.06,0.036,5.25,0
0,0.06,0.042,5.45,0
0,0.06,0.048,5.7,0
0,0.06,0.054,5.65,0
0,0.06,0.06,5.5,0
0,0.07,0.007,5.5,0
0,0.07,0.014,5.1,0
0,0.07,0.021,4.9,0
0,0.07,0.028,4.9,0
0,0.07,0.035,4.6,0
0,0.07,0.042,4.8,0
0,0.07,0.049,4.8,0
0,0.07,0.056,4.9,0
0,0.07,0.063,4.95,0
0,0.07,0.07,4.9,0
0,0.08,0.008,5.3,0
0,0.08,0.016,4.85,0
0,0.08,0.024,4.5,0
0,0.08,0.032,4.45,0
0,0.08,0.04,4.2,0
0,0.08,0.048,4.25,0
0,0.08,0.056,4.15,0
0,0.08,0.064,4.25,0
0,0.08,0.072,4.2,0
0,0.08,0.08,4.2,0
0,0.09,0.009,5,0
0,0.09,0.018,4.25,0
0,0.09,0.027,4.05,0
0,0.09,0.036,4.1,0
0,0.09,0.045,4,0
0,0.09,0.054,3.85,0
0,0.09,0.063,3.9,0
0,0.09,0.072,3.85,0
0,0.09,0.081,3.75,0
0,0.09,0.09,3.8,0
0,0.1,0.01,4.4,0
0,0.1,0.02,4.05,0
0,0.1,0.03,3.9,0
0,0.1,0.04,3.7,0
0,0.1,0.05,3.55,0
0,0.1,0.06,3.65,0
0,0.1,0.07,3.45,0
0,0.1,0.08,3.55,0
0,0.1,0.09,3.45,0
0,0.1,0.1,3.35,0
0.005,0.01,0,37.2,100
0.005,0.01,0.001,30.35,25.8903712977479
0.005,0.01,0.002,28.85,14.1951475704542
0.005,0.01,0.003,25.55,10.3528716743523
0.005,0.01,0.004,27.95,11.3867325385963
0.005,0.01,0.005,27.35,9.66279228835161
0.005,0.01,0.006,27.15,7.71389751902806
0.005,0.01,0.007,29.2,8.2183302595337
0.005,0.01,0.008,28.25,7.80804062310847
0.005,0.01,0.009,28.35,8.17101826208874
0.005,0.01,0.01,29.25,6.2483795018681
0.005,0.02,0,23.55,100
0.005,0.02,0.002,15.95,13.3765474940184
0.005,0.02,0.004,14.15,5.8126515035273
0.005,0.02,0.006,14.55,5.24961954977375
0.005,0.02,0.008,14.3,4.81550072502383
0.005,0.02,0.01,14.45,4.40084213574673
0.005,0.02,0.012,14.75,4.05001039002452
0.005,0.02,0.014,14.65,3.13613410277207
0.005,0.02,0.016,14.8,4.07129540663454
0.005,0.02,0.018,15.4,3.34076115496336
0.005,0.02,0.02,15.6,2.64108047571489
0.005,0.03,0,17.2,100
0.005,0.03,0.003,11.4,9.29187637781474
0.005,0.03,0.006,10.2,5.04179984411093
0.005,0.03,0.009,9.9,3.45057864347929
0.005,0.03,0.012,10.1,3.44692551616017
0.005,0.03,0.015,9.55,2.68863350726032
0.005,0.03,0.018,10.1,2.80501575946107
0.005,0.03,0.021,10.05,2.86080872051832
0.005,0.03,0.024,10.45,2.16067651443213
0.005,0.03,0.027,10.6,2.02591549295046
0.005,0.03,0.03,10.35,2.09983145784292
0.005,0.04,0,13.8,100
0.005,0.04,0.004,8.9,4.98062265504718
0.005,0.04,0.008,8.35,3.09799983106533
0.005,0.04,0.012,7.85,2.36052965625344
0.005,0.04,0.016,7.85,2.17959165160509
0.005,0.04,0.02,7.7,2.29240571444928
0.005,0.04,0.024,7.7,1.67779466486162
0.005,0.04,0.028,7.5,1.562013464574
0.005,0.04,0.032,8,1.84628862211639
0.005,0.04,0.036,7.8,1.36542746145781
0.005,0.04,0.04,7.7,1.03118272797476
0.005,0.05,0,12.1,100
0.005,0.05,0.005,7.35,4.25483020442962
0.005,0.05,0.01,7.25,2.55064710250705
0.005,0.05,0.015,6.55,1.57758121805686
0.005,0.05,0.02,6.35,1.9065093725389
0.005,0.05,0.025,6.4,1.37011796932242
0.005,0.05,0.03,6.45,1.28633573231617
0.005,0.05,0.035,6.4,0.997559854602497
0.005,0.05,0.04,6.3,1.26767937882178
0.005,0.05,0.045,6.4,0.843055697112401
0.005,0.05,0.05,6.4,0.881829916382435
0.005,0.06,0,11.55,100
0.005,0.06,0.006,6.4,3.0032679066718
0.005,0.06,0.012,6,2.30241515367397
0.005,0.06,0.018,5.5,0.931101481932724
0.005,0.06,0.024,5.65,1.00867122474777
0.005,0.06,0.03,5.25,1.19256255346695
0.005,0.06,0.036,5.35,0.692486475619932
0.005,0.06,0.042,5.05,0.769262140153785
0.005,0.06,0.048,5.35,0.644750277758009
0.005,0.06,0.054,5.35,0.780363965032101
0.005,0.06,0.06,5.65,0.748389363582218
0.005,0.07,0,10.6,100
0.005,0.07,0.007,5.9,2.48557636654504
0.005,0.07,0.014,5.1,0.95929223478504
0.005,0.07,0.021,5.05,0.85651580170414
0.005,0.07,0.028,4.95,1.07562586470479
0.005,0.07,0.035,4.6,0.889902313450851
0.005,0.07,0.042,4.75,0.80720122959108
0.005,0.07,0.049,4.65,0.608703000332397
0.005,0.07,0.056,4.55,0.874563760329248
0.005,0.07,0.063,4.85,0.590816234955348
0.005,0.07,0.07,4.8,0.529831029438073
0.005,0.08,0,9.15,100
0.005,0.08,0.008,5.3,1.90949596710521
0.005,0.08,0.016,4.75,2.18622145367691
0.005,0.08,0.024,4.45,1.27167262231554
0.005,0.08,0.032,4.35,0.886663216691168
0.005,0.08,0.04,4.15,0.97183602635269
0.005,0.08,0.048,4.25,0.631905983874422
0.005,0.08,0.056,4,0.541282501816334
0.005,0.08,0.064,4.05,0.599259880099937
0.005,0.08,0.072,4.1,0.518318596004133
0.005,0.08,0.08,4.15,0.549140797709641
0.005,0.09,0,8.8,100
0.005,0.09,0.009,4.55,1.22356612452557
0.005,0.09,0.018,4.15,1.15476439885976
0.005,0.09,0.027,4,0.720555035449157
0.005,0.09,0.036,4,0.818470065876385
0.005,0.09,0.045,3.85,0.350239047956596
0.005,0.09,0.054,3.95,0.453531591712295
0.005,0.09,0.063,3.85,0.557084448543972
0.005,0.09,0.072,3.95,0.505016183445046
0.005,0.09,0.081,3.9,0.455063734028054
0.005,0.09,0.09,4,0.403564731488394
0.005,0.1,0,8.45,100
0.005,0.1,0.01,4.65,1.89511449054016
0.005,0.1,0.02,3.95,0.96449522143373
0.005,0.1,0.03,3.8,0.602056633808658
0.005,0.1,0.04,3.5,0.596632213179883
0.005,0.1,0.05,3.55,0.567631562982386
0.005,0.1,0.06,3.55,0.426273649611627
0.005,0.1,0.07,3.6,0.423047833447847
0.005,0.1,0.08,3.45,0.289363985603469
0.005,0.1,0.09,3.35,0.332031967596567
0.005,0.1,0.1,3.45,0.319120687293323
0.01,0.01,0,32.25,100
0.01,0.01,0.001,28.1,45.1471844031582
0.01,0.01,0.002,26.95,25.5246871604417
0.01,0.01,0.003,27.3,26.6101421687878
0.01,0.01,0.004,25.35,20.798329136404
0.01,0.01,0.005,26.55,17.5620248295822
0.01,0.01,0.006,26.15,16.1722798453769
0.01,0.01,0.007,26.65,13.7288592845186
0.01,0.01,0.008,26.6,13.5354684853397
0.01,0.01,0.009,26.85,12.6599691860487
