Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,21.8,0
0,0.01,0.002,19.85,0
0,0.01,0.003,18.9,0
0,0.01,0.004,19.5,0
0,0.01,0.005,19.8,0
0,0.01,0.006,19.8,0
0,0.01,0.007,19.1,0
0,0.01,0.008,19.4,0
0,0.01,0.009,19.75,0
0,0.01,0.01,21.05,0
0,0.02,0.002,11.5,0
0,0.02,0.004,10.75,0
0,0.02,0.006,10,0
0,0.02,0.008,10.4,0
0,0.02,0.01,10.5,0
0,0.02,0.012,10.15,0
0,0.02,0.014,10.2,0
0,0.02,0.016,10.25,0
0,0.02,0.018,10.45,0
0,0.02,0.02,10.7,0
0,0.03,0.003,8.1,0
0,0.03,0.006,7.4,0
0,0.03,0.009,7.2,0
0,0.03,0.012,6.85,0
0,0.03,0.015,6.6,0
0,0.03,0.018,7.3,0
0,0.03,0.021,6.85,0
0,0.03,0.024,7.05,0
0,0.03,0.027,7.3,0
0,0.03,0.03,7.55,0
0,0.04,0.004,6.95,0
0,0.04,0.008,5.85,0
0,0.04,0.012,5.8,0
0,0.04,0.016,5.5,0
0,0.04,0.02,5.55,0
0,0.04,0.024,5.25,0
0,0.04,0.028,5.35,0
0,0.04,0.032,5.4,0
0,0.04,0.036,5.45,0
0,0.04,0.04,5.4,0
0,0.05,0.005,5.85,0
0,0.05,0.01,4.9,0
0,0.05,0.015,4.7,0
0,0.05,0.02,4.55,0
0,0.05,0.025,4.3,0
0,0.05,0.03,4.65,0
0,0.05,0.035,4.2,0
0,0.05,0.04,4.6,0
0,0.05,0.045,4.5,0
0,0.05,0.05,4.3,0
0,0.06,0.006,4.7,0
0,0.06,0.012,4.35,0
0,0.06,0.018,4.1,0
0,0.06,0.024,4.1,0
0,0.06,0.03,3.85,0
0,0.06,0.036,3.7,0
0,0.06,0.042,3.9,0
0,0.06,0.048,3.8,0
0,0.06,0.054,3.8,0
0,0.06,0.06,3.9,0
0,0.07,0.007,4.25,0
0,0.07,0.014,3.9,0
0,0.07,0.021,3.6,0
0,0.07,0.028,3.55,0
0,0.07,0.035,3.35,0
0,0.07,0.042,3.3,0
0,0.07,0.049,3.35,0
0,0.07,0.056,3.1,0
0,0.07,0.063,3.35,0
0,0.07,0.07,3.55,0
0,0.08,0.008,4.05,0
0,0.08,0.016,3.45,0
0,0.08,0.024,3.25,0
0,0.08,0.032,3.1,0
0,0.08,0.04,3.1,0
0,0.08,0.048,3.2,0
0,0.08,0.056,3,0
0,0.08,0.064,3.05,0
0,0.08,0.072,2.95,0
0,0.08,0.08,3,0
0,0.09,0.009,3.75,0
0,0.09,0.018,3.5,0
0,0.09,0.027,3.1,0
0,0.09,0.036,2.9,0
0,0.09,0.045,2.95,0
0,0.09,0.054,2.9,0
0,0.09,0.063,3,0
0,0.09,0.072,2.55,0
0,0.09,0.081,2.8,0
0,0.09,0.09,2.55,0
0,0.1,0.01,3.55,0
0,0.1,0.02,2.95,0
0,0.1,0.03,2.85,0
0,0.1,0.04,2.75,0
0,0.1,0.05,2.65,0
0,0.1,0.06,2.65,0
0,0.1,0.07,2.5,0
0,0.1,0.08,2.75,0
0,0.1,0.09,2.55,0
0,0.1,0.1,2.3,0
0.005,0.01,0,29.6,100
0.005,0.01,0.001,21,13.3533369874242
0.005,0.01,0.002,18.6,9.01629850577967
0.005,0.01,0.003,18.55,8.44456758010307
0.005,0.01,0.004,18.9,7.8276609062387
0.005,0.01,0.005,18.15,5.45915613273135
0.005,0.01,0.006,18.65,5.10130660101668
0.005,0.01,0.007,18.95,5.04319449477614
0.005,0.01,0.008,19.55,5.49274194428339
0.005,0.01,0.009,19.3,4.6975608297519
0.005,0.01,0.01,20.3,4.33533835819578
0.005,0.02,0,16.6,100
0.005,0.02,0.002,11.55,8.60130588080577
0.005,0.02,0.004,10.4,5.52577995519523
0.005,0.02,0.006,10.45,3.61875278929042
0.005,0.02,0.008,10.15,2.39173766822479
0.005,0.02,0.01,9.8,2.90100220884212
0.005,0.02,0.012,9.65,2.29714154823914
0.005,0.02,0.014,10.2,1.59813191120646
0.005,0.02,0.016,9.9,2.1447499514835
0.005,0.02,0.018,10.4,1.53878602792399
0.005,0.02,0.02,10.3,2.20701833043383
0.005,0.03,0,13.25,100
0.005,0.03,0.003,8.2,4.22221608424176
0.005,0.03,0.006,6.95,2.18201936566753
0.005,0.03,0.009,6.9,1.55739605981817
0.005,0.03,0.012,6.85,1.19948999765129
0.005,0.03,0.015,7.15,1.34154324932655
0.005,0.03,0.018,6.95,1.33609450481953
0.005,0.03,0.021,7.1,1.80911744188233
0.005,0.03,0.024,6.8,1.46060849626382
0.005,0.03,0.027,7,1.16411514032986
0.005,0.03,0.03,7,1.06158493836987
0.005,0.04,0,11.15,100
0.005,0.04,0.004,6.45,3.63808957982031
0.005,0.04,0.008,6.1,2.31304024927317
0.005,0.04,0.012,5.75,1.82844654357578
0.005,0.04,0.016,5.3,1.30268111325002
0.005,0.04,0.02,5.45,0.664237214198989
0.005,0.04,0.024,5,1.02667872910041
0.005,0.04,0.028,5.5,0.798168556110599
0.005,0.04,0.032,5.4,0.68147575782544
0.005,0.04,0.036,5.5,0.812356056030033
0.005,0.04,0.04,5.25,0.602794075044495
0.005,0.05,0,9.9,100
0.005,0.05,0.005,5.75,3.42257321227016
0.005,0.05,0.01,4.9,1.13117564860958
0.005,0.05,0.015,4.7,1.10487969381991
0.005,0.05,0.02,4.4,0.952662431812244
0.005,0.05,0.025,4.4,0.752572882670927
0.005,0.05,0.03,4.45,1.10265971578188
0.005,0.05,0.035,4.75,0.96815232568371
0.005,0.05,0.04,4.35,0.656616675490237
0.005,0.05,0.045,4.3,0.789734352781895
0.005,0.05,0.05,4.7,0.638658059284296
0.005,0.06,0,8.2,100
0.005,0.06,0.006,4.75,2.17072765630104
0.005,0.06,0.012,4.25,0.849202686841305
0.005,0.06,0.018,3.95,0.711318181314902
0.005,0.06,0.024,3.9,0.743243244360797
0.005,0.06,0.03,3.7,0.641356465082535
0.005,0.06,0.036,3.85,0.545924227073333
0.005,0.06,0.042,3.85,0.703403717842043
0.005,0.06,0.048,3.6,0.456828025959379
0.005,0.06,0.054,3.85,0.331393582544898
0.005,0.06,0.06,3.95,0.475518337070019
0.005,0.07,0,8.15,100
0.005,0.07,0.007,4.25,2.29808595403689
0.005,0.07,0.014,3.6,0.751065427454687
0.005,0.07,0.021,3.7,0.858464510894611
0.005,0.07,0.028,3.75,0.539917822216076
0.005,0.07,0.035,3.35,0.545582620188291
0.005,0.07,0.042,3.35,0.700208187319972
0.005,0.07,0.049,3.3,0.52671659931926
0.005,0.07,0.056,3.25,0.247120109431356
0.005,0.07,0.063,3.15,0.217111446641582
0.005,0.07,0.07,3.3,0.257457520062341
0.005,0.08,0,8.05,100
0.005,0.08,0.008,3.9,0.849552701527969
0.005,0.08,0.016,3.4,0.728054072627298
0.005,0.08,0.024,3.35,0.51485679078101
0.005,0.08,0.032,3.25,0.408398824900551
0.005,0.08,0.04,3,0.502330254334564
0.005,0.08,0.048,3,0.328066639159646
0.005,0.08,0.056,3,0.256515107293358
0.005,0.08,0.064,3,0.236256799194464
0.005,0.08,0.072,2.95,0.33963943558504
0.005,0.08,0.08,3,0.206650740068737
0.005,0.09,0,8.05,100
0.005,0.09,0.009,3.7,1.2259456155831
0.005,0.09,0.018,3,0.685360058607841
0.005,0.09,0.027,3.1,0.367416232256407
0.005,0.09,0.036,2.9,0.318930013361899
0.005,0.09,0.045,2.9,0.298326900464556
0.005,0.09,0.054,2.95,0.28554008940021
0.005,0.09,0.063,2.9,0.284896666639188
0.005,0.09,0.072,2.75,0.153383979217171
0.005,0.09,0.081,2.8,0.224556761041471
0.005,0.09,0.09,2.9,0.234583841417195
0.005,0.1,0,7,100
0.005,0.1,0.01,3.65,1.31213618357523
0.005,0.1,0.02,3.05,0.499126201784663
0.005,0.1,0.03,3,0.424845520768848
0.005,0.1,0.04,2.85,0.305113068657493
0.005,0.1,0.05,2.9,0.324759987674042
0.005,0.1,0.06,2.5,0.269184678536914
0.005,0.1,0.07,2.8,0.174043544116834
0.005,0.1,0.08,2.6,0.285404733452518
0.005,0.1,0.09,2.3,0.0723728634983246
0.005,0.1,0.1,2.3,0.0929479362959577
0.01,0.01,0,23.2,100
0.01,0.01,0.001,19.45,35.6160083176712
0.01,0.01,0.002,19.15,20.116421157655
0.01,0.01,0.003,18.2,15.4907597268622
0.01,0.01,0.004,18.7,11.8913700221784
0.01,0.01,0.005,17.9,10.8503261343814
0.01,0.01,0.006,17.75,10.8045646303239
0.01,0.01,0.007,17.95,9.41453777499876
0.01,0.01,0.008,18.4,8.96545113811225
0.01,0.01,0.009,18.7,9.69182805598457
