Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,114.6,0
0,0.01,0.002,105.95,0
0,0.01,0.003,102.75,0
0,0.01,0.004,101.65,0
0,0.01,0.005,97.55,0
0,0.01,0.006,107.95,0
0,0.01,0.007,105.85,0
0,0.01,0.008,108.5,0
0,0.01,0.009,108.2,0
0,0.01,0.01,114.25,0
0,0.02,0.002,58,0
0,0.02,0.004,50.8,0
0,0.02,0.006,50.6,0
0,0.02,0.008,51.4,0
0,0.02,0.01,52.1,0
0,0.02,0.012,52.05,0
0,0.02,0.014,54.1,0
0,0.02,0.016,53.95,0
0,0.02,0.018,54.85,0
0,0.02,0.02,56.3,0
0,0.03,0.003,37.65,0
0,0.03,0.006,36.6,0
0,0.03,0.009,35.1,0
0,0.03,0.012,34.05,0
0,0.03,0.015,33.3,0
0,0.03,0.018,35.05,0
0,0.03,0.021,35.25,0
0,0.03,0.024,36.25,0
0,0.03,0.027,37.1,0
0,0.03,0.03,37.5,0
0,0.04,0.004,29.1,0
0,0.04,0.008,27.1,0
0,0.04,0.012,25.5,0
0,0.04,0.016,26.5,0
0,0.04,0.02,26.85,0
0,0.04,0.024,26.2,0
0,0.04,0.028,26.4,0
0,0.04,0.032,26.3,0
0,0.04,0.036,27.9,0
0,0.04,0.04,28.6,0
0,0.05,0.005,23.05,0
0,0.05,0.01,22.35,0
0,0.05,0.015,20.85,0
0,0.05,0.02,20.5,0
0,0.05,0.025,20.35,0
0,0.05,0.03,20.35,0
0,0.05,0.035,21.05,0
0,0.05,0.04,21.7,0
0,0.05,0.045,22.05,0
0,0.05,0.05,22.45,0
0,0.06,0.006,20.1,0
0,0.06,0.012,18.8,0
0,0.06,0.018,17.95,0
0,0.06,0.024,17.05,0
0,0.06,0.03,17.85,0
0,0.06,0.036,17.9,0
0,0.06,0.042,17.45,0
0,0.06,0.048,18.1,0
0,0.06,0.054,18.25,0
0,0.06,0.06,19.4,0
0,0.07,0.007,17.2,0
0,0.07,0.014,15.8,0
0,0.07,0.021,15.35,0
0,0.07,0.028,15.05,0
0,0.07,0.035,14.95,0
0,0.07,0.042,15.15,0
0,0.07,0.049,15.2,0
0,0.07,0.056,15.7,0
0,0.07,0.063,15.95,0
0,0.07,0.07,15.75,0
0,0.08,0.008,16.05,0
0,0.08,0.016,13.95,0
0,0.08,0.024,13.55,0
0,0.08,0.032,12.75,0
0,0.08,0.04,13.45,0
0,0.08,0.048,13.7,0
0,0.08,0.056,13.5,0
0,0.08,0.064,13.5,0
0,0.08,0.072,13.6,0
0,0.08,0.08,14.4,0
0,0.09,0.009,13.65,0
0,0.09,0.018,12.4,0
0,0.09,0.027,12.15,0
0,0.09,0.036,11.6,0
0,0.09,0.045,11.6,0
0,0.09,0.054,12.15,0
0,0.09,0.063,11.9,0
0,0.09,0.072,12.05,0
0,0.09,0.081,12.55,0
0,0.09,0.09,12.65,0
0,0.1,0.01,12.45,0
0,0.1,0.02,11.25,0
0,0.1,0.03,10.65,0
0,0.1,0.04,10.85,0
0,0.1,0.05,10.75,0
0,0.1,0.06,11.05,0
0,0.1,0.07,10.85,0
0,0.1,0.08,10.9,0
0,0.1,0.09,11,0
0,0.1,0.1,11.3,0
0.005,0.01,0,98.1,100
0.005,0.01,0.001,92.65,51.485820414931
0.005,0.01,0.002,86.6,41.3145944309534
0.005,0.01,0.003,85,31.7470560882413
0.005,0.01,0.004,86.9,29.3636665192393
0.005,0.01,0.005,83.5,26.8727837907755
0.005,0.01,0.006,87.2,26.6342272388573
0.005,0.01,0.007,85.5,23.5304254239482
0.005,0.01,0.008,89.5,23.0601108553291
0.005,0.01,0.009,90.4,22.0413986475204
0.005,0.01,0.01,91.1,22.2222165561159
0.005,0.02,0,57.55,100
0.005,0.02,0.002,50,35.9973213773854
0.005,0.02,0.004,47.35,25.1526804839941
0.005,0.02,0.006,46.05,19.4665441893135
0.005,0.02,0.008,46.75,16.1774019062085
0.005,0.02,0.01,44.6,15.2657363073342
0.005,0.02,0.012,46.2,13.1209073891586
0.005,0.02,0.014,49.2,12.3017285816521
0.005,0.02,0.016,49.1,11.5904203875731
0.005,0.02,0.018,50,11.7328056081751
0.005,0.02,0.02,50.55,11.6729502585694
0.005,0.03,0,44.65,100
0.005,0.03,0.003,35.8,23.606262806033
0.005,0.03,0.006,33.45,16.9873779030346
0.005,0.03,0.009,31.45,13.2784108940092
0.005,0.03,0.012,32.4,11.4749886490446
0.005,0.03,0.015,32.5,9.57863042371346
0.005,0.03,0.018,32.6,9.25293537843068
0.005,0.03,0.021,33.45,9.67942475135948
0.005,0.03,0.024,33.55,9.61838678132041
0.005,0.03,0.027,34.95,8.79943359211058
0.005,0.03,0.03,35.8,6.78533891994043
0.005,0.04,0,35.1,100
0.005,0.04,0.004,27,20.2640728939061
0.005,0.04,0.008,25.75,13.9652074606414
0.005,0.04,0.012,24.5,10.338428713184
0.005,0.04,0.016,24.1,8.20218131555316
0.005,0.04,0.02,24.5,8.81059175029741
0.005,0.04,0.024,25,6.45611810113908
0.005,0.04,0.028,25.35,6.40953267375045
0.005,0.04,0.032,25.8,6.85578433831283
0.005,0.04,0.036,26.8,6.4780546977156
0.005,0.04,0.04,26.05,5.32200157463
0.005,0.05,0,30.5,100
0.005,0.05,0.005,22.95,18.7216140397745
0.005,0.05,0.01,20.75,9.90174442047258
0.005,0.05,0.015,20.05,6.90716828865113
0.005,0.05,0.02,19.6,6.77368036571746
0.005,0.05,0.025,20.05,6.04232862459434
0.005,0.05,0.03,20.1,5.22769220638227
0.005,0.05,0.035,19.85,5.06907576737069
0.005,0.05,0.04,21.4,5.0217130245139
0.005,0.05,0.045,21.4,4.86750989753978
0.005,0.05,0.05,21.75,4.1114119139716
0.005,0.06,0,26.4,100
0.005,0.06,0.006,18.7,13.7699543894595
0.005,0.06,0.012,17.4,8.57074837606966
0.005,0.06,0.018,17.2,6.67513733619367
0.005,0.06,0.024,16.85,5.75451681417103
0.005,0.06,0.03,16.9,4.4479911475186
0.005,0.06,0.036,16.85,4.38672378237287
0.005,0.06,0.042,17.3,3.94188088792554
0.005,0.06,0.048,17.8,3.88983411367646
0.005,0.06,0.054,17.65,3.8792185144933
0.005,0.06,0.06,17.9,4.21129347274164
0.005,0.07,0,23.3,100
0.005,0.07,0.007,17.2,12.0688449694934
0.005,0.07,0.014,15.2,6.0841725865126
0.005,0.07,0.021,14.7,6.3963220139243
0.005,0.07,0.028,15.1,4.57947269799949
