Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,32.7,0
0,0.01,0.002,30.15,0
0,0.01,0.003,28.35,0
0,0.01,0.004,28.65,0
0,0.01,0.005,29,0
0,0.01,0.006,30,0
0,0.01,0.007,29,0
0,0.01,0.008,29.55,0
0,0.01,0.009,31.85,0
0,0.01,0.01,31.3,0
0,0.02,0.002,17.65,0
0,0.02,0.004,15.55,0
0,0.02,0.006,15.1,0
0,0.02,0.008,14.35,0
0,0.02,0.01,15.1,0
0,0.02,0.012,15.05,0
0,0.02,0.014,15.75,0
0,0.02,0.016,15.25,0
0,0.02,0.018,15.4,0
0,0.02,0.02,15.65,0
0,0.03,0.003,13.25,0
0,0.03,0.006,11.15,0
0,0.03,0.009,10.35,0
0,0.03,0.012,10.55,0
0,0.03,0.015,10.2,0
0,0.03,0.018,10.25,0
0,0.03,0.021,10.25,0
0,0.03,0.024,10.3,0
0,0.03,0.027,10.45,0
0,0.03,0.03,10.75,0
0,0.04,0.004,9.4,0
0,0.04,0.008,8.5,0
0,0.04,0.012,8,0
0,0.04,0.016,8.1,0
0,0.04,0.02,7.85,0
0,0.04,0.024,8,0
0,0.04,0.028,8.05,0
0,0.04,0.032,7.9,0
0,0.04,0.036,7.9,0
0,0.04,0.04,7.85,0
0,0.05,0.005,7.65,0
0,0.05,0.01,7.4,0
0,0.05,0.015,6.55,0
0,0.05,0.02,6.6,0
0,0.05,0.025,6.4,0
0,0.05,0.03,6.8,0
0,0.05,0.035,6.2,0
0,0.05,0.04,6.55,0
0,0.05,0.045,6.2,0
0,0.05,0.05,6.7,0
0,0.06,0.006,7.05,0
0,0.06,0.012,5.95,0
0,0.06,0.018,5.7,0
0,0.06,0.024,5.55,0
0,0.06,0.03,5.4,0
0,0.06,0.036,5.55,0
0,0.06,0.042,5.4,0
0,0.06,0.048,5.4,0
0,0.06,0.054,5.6,0
0,0.06,0.06,5.45,0
0,0.07,0.007,6,0
0,0.07,0.014,5.25,0
0,0.07,0.021,5.05,0
0,0.07,0.028,4.95,0
0,0.07,0.035,4.65,0
0,0.07,0.042,5.05,0
0,0.07,0.049,4.65,0
0,0.07,0.056,4.75,0
0,0.07,0.063,4.95,0
0,0.07,0.07,4.7,0
0,0.08,0.008,5.4,0
0,0.08,0.016,4.95,0
0,0.08,0.024,4.5,0
0,0.08,0.032,4.5,0
0,0.08,0.04,4.4,0
0,0.08,0.048,4.25,0
0,0.08,0.056,4.25,0
0,0.08,0.064,4.15,0
0,0.08,0.072,4.2,0
0,0.08,0.08,4.4,0
0,0.09,0.009,5,0
0,0.09,0.018,4.15,0
0,0.09,0.027,4.05,0
0,0.09,0.036,4,0
0,0.09,0.045,3.85,0
0,0.09,0.054,4,0
0,0.09,0.063,3.9,0
0,0.09,0.072,3.8,0
0,0.09,0.081,3.7,0
0,0.09,0.09,3.8,0
0,0.1,0.01,4.55,0
0,0.1,0.02,4.05,0
0,0.1,0.03,3.85,0
0,0.1,0.04,3.7,0
0,0.1,0.05,3.55,0
0,0.1,0.06,3.5,0
0,0.1,0.07,3.65,0
0,0.1,0.08,3.25,0
0,0.1,0.09,3.4,0
0,0.1,0.1,3.5,0
0.005,0.01,0,38.3,100
0.005,0.01,0.001,29.3,25.1099785649726
0.005,0.01,0.002,27.85,16.5185853505442
0.005,0.01,0.003,28.55,13.6549556894047
0.005,0.01,0.004,27.75,10.2777511077985
0.005,0.01,0.005,25.6,9.8208298494745
0.005,0.01,0.006,28.8,8.83331750392766
0.005,0.01,0.007,27.8,9.80050855932572
0.005,0.01,0.008,28.65,8.05754059862502
0.005,0.01,0.009,28.25,7.28462815141688
0.005,0.01,0.01,29.8,7.38777953988667
0.005,0.02,0,22.9,100
0.005,0.02,0.002,15.25,11.2527155369936
0.005,0.02,0.004,15.4,11.7762059472325
0.005,0.02,0.006,14.5,5.67426558371003
0.005,0.02,0.008,14.7,4.51619492362196
0.005,0.02,0.01,14.05,3.54801591533638
0.005,0.02,0.012,14.7,3.82746102270142
0.005,0.02,0.014,14.3,3.62492932009623
0.005,0.02,0.016,14.55,3.57917667749867
0.005,0.02,0.018,14.55,3.06028909586444
0.005,0.02,0.02,15.25,2.7449392142276
0.005,0.03,0,17.85,100
0.005,0.03,0.003,12.05,8.10797456671813
0.005,0.03,0.006,10.7,4.96133511969223
0.005,0.03,0.009,10.4,4.59245678925608
0.005,0.03,0.012,10.15,3.45423671151632
0.005,0.03,0.015,9.95,2.58695938277952
0.005,0.03,0.018,10,2.45322069270683
0.005,0.03,0.021,9.85,2.38617600315797
0.005,0.03,0.024,9.7,2.46657716573279
0.005,0.03,0.027,10.25,2.11728727636846
0.005,0.03,0.03,10.2,1.94387374598061
0.005,0.04,0,14.7,100
0.005,0.04,0.004,9.15,4.59873248709376
0.005,0.04,0.008,8.6,2.96396559780857
0.005,0.04,0.012,8,2.45839964684899
0.005,0.04,0.016,7.9,2.58109504404092
0.005,0.04,0.02,7.5,2.2688588749866
0.005,0.04,0.024,7.7,1.92914966733132
0.005,0.04,0.028,7.65,1.40507617133929
0.005,0.04,0.032,7.85,1.5341324484774
0.005,0.04,0.036,7.85,1.36616748690312
0.005,0.04,0.04,8.05,1.20893571772003
0.005,0.05,0,12.85,100
0.005,0.05,0.005,8.15,4.75456369617172
0.005,0.05,0.01,7,3.20066933415395
0.005,0.05,0.015,6.75,1.74437901103436
0.005,0.05,0.02,6.5,1.24385012072657
0.005,0.05,0.025,6.35,1.24059063592852
0.005,0.05,0.03,6.15,1.16246464967385
0.005,0.05,0.035,6.2,1.06099095967292
0.005,0.05,0.04,6.35,0.855142234979948
0.005,0.05,0.045,6.4,1.04819271978077
0.005,0.05,0.05,6.35,0.905574053019652
0.005,0.06,0,11.35,100
0.005,0.06,0.006,6.7,4.35926949540805
0.005,0.06,0.012,6.35,2.56161718351788
0.005,0.06,0.018,5.6,1.46444844685016
0.005,0.06,0.024,5.55,1.22295754819147
0.005,0.06,0.03,5.4,0.952853443571755
0.005,0.06,0.036,5.35,0.931257967504667
0.005,0.06,0.042,5.4,1.15310690808408
0.005,0.06,0.048,5.3,0.823379273811956
0.005,0.06,0.054,5.4,0.708590302149967
0.005,0.06,0.06,5.25,0.955010516563137
0.005,0.07,0,10.35,100
0.005,0.07,0.007,6.1,2.98335335691727
0.005,0.07,0.014,5.1,1.57501972592628
0.005,0.07,0.021,5.05,1.09997036167936
0.005,0.07,0.028,5,1.65308790799794
0.005,0.07,0.035,4.75,0.744786833661583
0.005,0.07,0.042,4.8,0.681439842112652
0.005,0.07,0.049,4.65,0.972714169576175
0.005,0.07,0.056,4.75,0.613936574608561
0.005,0.07,0.063,4.9,0.693454424182234
0.005,0.07,0.07,4.8,0.673546928639652
0.005,0.08,0,9.2,100
0.005,0.08,0.008,5.15,2.0436637170606
0.005,0.08,0.016,4.65,1.28589132436212
0.005,0.08,0.024,4.6,1.4831076194316
0.005,0.08,0.032,4.25,0.933218940475462
0.005,0.08,0.04,4.2,0.506390870825324
0.005,0.08,0.048,4.15,0.589868133944742
0.005,0.08,0.056,4.05,0.414540900814564
0.005,0.08,0.064,4.2,0.579044460578195
0.005,0.08,0.072,4.25,0.651414612715513
0.005,0.08,0.08,4.1,0.547694701230391
0.005,0.09,0,9.15,100
0.005,0.09,0.009,4.8,3.06374295126932
0.005,0.09,0.018,4.2,1.06526298386501
0.005,0.09,0.027,4.15,0.757933383073513
0.005,0.09,0.036,4.05,0.36086304685633
0.005,0.09,0.045,4,0.514815577789398
0.005,0.09,0.054,3.8,0.538399164681906
0.005,0.09,0.063,4,0.690581418020779
0.005,0.09,0.072,3.85,0.370111258529712
0.005,0.09,0.081,3.65,0.494504824958956
0.005,0.09,0.09,3.75,0.684452356376859
0.005,0.1,0,9.05,100
0.005,0.1,0.01,4.35,1.68721331186948
0.005,0.1,0.02,4.1,1.29022403861775
0.005,0.1,0.03,3.85,0.893962342029943
0.005,0.1,0.04,3.75,0.808442553154945
0.005,0.1,0.05,3.6,0.503544907052763
0.005,0.1,0.06,3.45,0.464328105653793
0.005,0.1,0.07,3.5,0.340685258735077
0.005,0.1,0.08,3.7,0.31809263064157
0.005,0.1,0.09,3.4,0.299734560357029
0.005,0.1,0.1,3.45,0.372592885249339
0.01,0.01,0,33.6,100
0.01,0.01,0.001,27.6,33.6248757473208
0.01,0.01,0.002,28.05,33.5312775422631
0.01,0.01,0.003,26.6,19.8865126270405
0.01,0.01,0.004,26.1,17.2629392548943
0.01,0.01,0.005,26.35,16.9008654749797
0.01,0.01,0.006,26.4,15.2411657288153
0.01,0.01,0.007,27.45,13.5304788090203
0.01,0.01,0.008,27.7,13.668500372442
0.01,0.01,0.009,29.1,13.5483398790601
0.01,0.01,0.01,28.15,12.1206224250533
0.01,0.02,0,20.3,100
0.01,0.02,0.002,15.75,23.1595263776932
0.01,0.02,0.004,14.75,15.0802948001801
0.01,0.02,0.006,14.15,11.2321376871925
0.01,0.02,0.008,14.05,10.1375323276354
0.01,0.02,0.01,14.1,10.0197052567387
0.01,0.02,0.012,14.75,8.33095053450113
0.01,0.02,0.014,14.95,7.65379705112733
0.01,0.02,0.016,14.9,7.44587438336446
0.01,0.02,0.018,14,6.18490188977949
0.01,0.02,0.02,14.55,6.62584676922489
0.01,0.03,0,15.25,100
0.01,0.03,0.003,11.3,18.5859939270611
0.01,0.03,0.006,10.3,10.7142304862647
0.01,0.03,0.009,10.2,6.87162707713788
0.01,0.03,0.012,9.95,5.6759786112896
0.01,0.03,0.015,9.75,5.27143437905205
0.01,0.03,0.018,9.85,5.34730058600843
0.01,0.03,0.021,10.1,5.95423960482594
0.01,0.03,0.024,10,4.60033417513237
0.01,0.03,0.027,9.95,3.60062937365942
0.01,0.03,0.03,10,3.87266275500033
0.01,0.04,0,12.5,100
0.01,0.04,0.004,8.9,12.6145458203994
0.01,0.04,0.008,7.9,6.28163436973305
0.01,0.04,0.012,7.8,6.14383751175582
0.01,0.04,0.016,7.65,3.92416757030488
0.01,0.04,0.02,7.5,3.3665089509331
0.01,0.04,0.024,7.45,3.2452955827312
0.01,0.04,0.028,7.85,3.33268915102561
0.01,0.04,0.032,7.4,2.88148765711359
0.01,0.04,0.036,8,3.18008289971452
0.01,0.04,0.04,7.75,2.72719371610886
0.01,0.05,0,11.55,100
0.01,0.05,0.005,7.3,9.65072922246865
0.01,0.05,0.01,6.85,5.59028182983668
0.01,0.05,0.015,6.55,4.06833965803243
0.01,0.05,0.02,6.4,3.22438022305168
0.01,0.05,0.025,6.3,3.06429687809693
0.01,0.05,0.03,6.1,2.41210213324426
0.01,0.05,0.035,6.4,2.51722145402077
0.01,0.05,0.04,6.15,2.68583600276139
0.01,0.05,0.045,6.45,2.06538339100897
0.01,0.05,0.05,6.5,2.42317379266758
0.01,0.06,0,9.95,100
0.01,0.06,0.006,6.4,8.89406517364563
0.01,0.06,0.012,5.9,3.64035069216402
0.01,0.06,0.018,5.35,2.86150112649672
0.01,0.06,0.024,5.2,2.16936727371578
0.01,0.06,0.03,5.3,2.12360464107445
0.01,0.06,0.036,5.15,2.45546687428457
0.01,0.06,0.042,5.35,1.45159964215542
0.01,0.06,0.048,5.1,1.8464543283295
0.01,0.06,0.054,5.45,1.7809436045579
0.01,0.06,0.06,5.25,1.84123552996333
0.01,0.07,0,9.15,100
0.01,0.07,0.007,5.75,5.80793812985917
0.01,0.07,0.014,5.45,5.00381309080809
0.01,0.07,0.021,5.05,2.32252805705072
0.01,0.07,0.028,4.85,2.7642663300271
0.01,0.07,0.035,4.75,1.47551427266826
0.01,0.07,0.042,4.75,1.84622993658266
0.01,0.07,0.049,4.5,1.22314250845124
0.01,0.07,0.056,4.7,1.57323689131618
0.01,0.07,0.063,4.85,1.28586268485485
0.01,0.07,0.07,4.6,1.27325081794263
0.01,0.08,0,8.65,100
0.01,0.08,0.008,5.35,6.62701738939656
0.01,0.08,0.016,4.65,2.30155484198836
0.01,0.08,0.024,4.4,2.03234899206422
0.01,0.08,0.032,4.05,1.50247734082554
0.01,0.08,0.04,4.3,1.42331982549743
0.01,0.08,0.048,4.3,1.32073572412684
