Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,65.6,0
0,0.01,0.002,62,0
0,0.01,0.003,58.9,0
0,0.01,0.004,59.9,0
0,0.01,0.005,60,0
0,0.01,0.006,62.55,0
0,0.01,0.007,61.1,0
0,0.01,0.008,62.65,0
0,0.01,0.009,62.55,0
0,0.01,0.01,65.8,0
0,0.02,0.002,32.05,0
0,0.02,0.004,32.2,0
0,0.02,0.006,30.8,0
0,0.02,0.008,30.45,0
0,0.02,0.01,29.5,0
0,0.02,0.012,29.55,0
0,0.02,0.014,30.8,0
0,0.02,0.016,30.65,0
0,0.02,0.018,31.85,0
0,0.02,0.02,32.2,0
0,0.03,0.003,23.3,0
0,0.03,0.006,20.6,0
0,0.03,0.009,20.3,0
0,0.03,0.012,19.85,0
0,0.03,0.015,20.75,0
0,0.03,0.018,20.65,0
0,0.03,0.021,20.85,0
0,0.03,0.024,20.8,0
0,0.03,0.027,21.9,0
0,0.03,0.03,22.05,0
0,0.04,0.004,16.6,0
0,0.04,0.008,15.9,0
0,0.04,0.012,15.25,0
0,0.04,0.016,15.25,0
0,0.04,0.02,15.6,0
0,0.04,0.024,15.65,0
0,0.04,0.028,15.2,0
0,0.04,0.032,15.55,0
0,0.04,0.036,16.35,0
0,0.04,0.04,16,0
0,0.05,0.005,14.3,0
0,0.05,0.01,13.25,0
0,0.05,0.015,12.65,0
0,0.05,0.02,12.45,0
0,0.05,0.025,12.3,0
0,0.05,0.03,12.5,0
0,0.05,0.035,12.95,0
0,0.05,0.04,12.5,0
0,0.05,0.045,12.95,0
0,0.05,0.05,13.25,0
0,0.06,0.006,11.7,0
0,0.06,0.012,11.2,0
0,0.06,0.018,10.25,0
0,0.06,0.024,10.35,0
0,0.06,0.03,10.1,0
0,0.06,0.036,10.85,0
0,0.06,0.042,10.5,0
0,0.06,0.048,10.4,0
0,0.06,0.054,10.75,0
0,0.06,0.06,10.9,0
0,0.07,0.007,10.5,0
0,0.07,0.014,9.3,0
0,0.07,0.021,9.1,0
0,0.07,0.028,9.15,0
0,0.07,0.035,9.35,0
0,0.07,0.042,8.95,0
0,0.07,0.049,9.05,0
0,0.07,0.056,9.2,0
0,0.07,0.063,9.15,0
0,0.07,0.07,9.5,0
0,0.08,0.008,9.4,0
0,0.08,0.016,8.25,0
0,0.08,0.024,8.15,0
0,0.08,0.032,7.95,0
0,0.08,0.04,8.05,0
0,0.08,0.048,8.2,0
0,0.08,0.056,8.35,0
0,0.08,0.064,8.2,0
0,0.08,0.072,8.35,0
0,0.08,0.08,8.65,0
0,0.09,0.009,8.65,0
0,0.09,0.018,7.9,0
0,0.09,0.027,7.4,0
0,0.09,0.036,7.25,0
0,0.09,0.045,7.25,0
0,0.09,0.054,7.25,0
0,0.09,0.063,7.25,0
0,0.09,0.072,7.15,0
0,0.09,0.081,7.35,0
0,0.09,0.09,7.4,0
0,0.1,0.01,7.8,0
0,0.1,0.02,7.25,0
0,0.1,0.03,6.7,0
0,0.1,0.04,6.4,0
0,0.1,0.05,6.75,0
0,0.1,0.06,6.5,0
0,0.1,0.07,6.85,0
0,0.1,0.08,6.55,0
0,0.1,0.09,6.8,0
0,0.1,0.1,6.95,0
0.005,0.01,0,62.75,100
0.005,0.01,0.001,56.35,44.3846001368108
0.005,0.01,0.002,53.8,29.6355849171206
0.005,0.01,0.003,53.6,23.3352067501587
0.005,0.01,0.004,53.05,17.7107279531832
0.005,0.01,0.005,53.45,17.0855812130437
0.005,0.01,0.006,54.25,16.7372099319701
0.005,0.01,0.007,53.35,16.1733877839361
0.005,0.01,0.008,54.6,13.8714189074294
0.005,0.01,0.009,57.1,13.6154751716051
0.005,0.01,0.01,59.1,13.2810101001672
0.005,0.02,0,38.55,100
0.005,0.02,0.002,30.65,29.8046248192086
0.005,0.02,0.004,29.45,17.9967637556392
0.005,0.02,0.006,28.55,13.100989680547
0.005,0.02,0.008,27.2,8.78817756428944
0.005,0.02,0.01,29.35,9.38681019524991
0.005,0.02,0.012,30.05,9.29422440073585
0.005,0.02,0.014,29.5,7.52284794351276
0.005,0.02,0.016,29.5,7.4611032633073
0.005,0.02,0.018,30.2,8.941711101099
0.005,0.02,0.02,30,6.6380251598683
0.005,0.03,0,27.95,100
0.005,0.03,0.003,21.3,15.879183501798
0.005,0.03,0.006,20.2,10.9017530153309
0.005,0.03,0.009,19.4,8.1490447511227
0.005,0.03,0.012,19.45,6.91422299601258
0.005,0.03,0.015,19.25,6.14828098171379
0.005,0.03,0.018,19.95,5.57385302304326
0.005,0.03,0.021,19.75,5.50637791412586
0.005,0.03,0.024,20.2,5.24913883371879
0.005,0.03,0.027,20.4,4.75340861541691
0.005,0.03,0.03,20.9,4.24359744352214
0.005,0.04,0,24.75,100
0.005,0.04,0.004,16.15,12.7551227220043
0.005,0.04,0.008,15.15,7.80318952722298
0.005,0.04,0.012,15.05,6.21622738616031
0.005,0.04,0.016,15,4.96132240374665
0.005,0.04,0.02,15.1,3.98743443595989
0.005,0.04,0.024,14.85,3.80539923646456
0.005,0.04,0.028,14.7,3.46709240418153
0.005,0.04,0.032,15.75,3.57962791964747
0.005,0.04,0.036,15.45,3.52345008067554
0.005,0.04,0.04,15.85,3.57315838591429
0.005,0.05,0,20.7,100
0.005,0.05,0.005,13.5,9.42736781826939
0.005,0.05,0.01,12.95,5.24966307344727
0.005,0.05,0.015,12,4.43265885942002
0.005,0.05,0.02,11.7,4.22881511122778
0.005,0.05,0.025,12.4,3.1436761765118
0.005,0.05,0.03,12,2.81257723947396
0.005,0.05,0.035,12.6,3.04167883560993
0.005,0.05,0.04,12.4,2.26078788572919
0.005,0.05,0.045,12.65,2.45218012532548
0.005,0.05,0.05,13.4,2.67318179494817
0.005,0.06,0,17.3,100
0.005,0.06,0.006,12,7.7469868714778
0.005,0.06,0.012,10.6,4.22058968500207
0.005,0.06,0.018,10.55,3.5241484849614
0.005,0.06,0.024,10.4,3.45659512357791
0.005,0.06,0.03,10.15,2.59637323848334
0.005,0.06,0.036,10.2,3.06465228156551
0.005,0.06,0.042,10.3,2.12148534458474
0.005,0.06,0.048,10.8,2.35293028613513
0.005,0.06,0.054,10.8,2.31108651881691
0.005,0.06,0.06,10.75,2.03996609154991
