Alpha,P,Q,TimeToComplete,Pure
0,0.01,0.001,116.75,0
0,0.01,0.002,107.55,0
0,0.01,0.003,100.55,0
0,0.01,0.004,101.05,0
0,0.01,0.005,99.3,0
0,0.01,0.006,102.25,0
0,0.01,0.007,104.95,0
0,0.01,0.008,107.1,0
0,0.01,0.009,104.2,0
0,0.01,0.01,109.55,0
0,0.02,0.002,58.4,0
0,0.02,0.004,52.75,0
0,0.02,0.006,51.2,0
0,0.02,0.008,50.9,0
0,0.02,0.01,51.55,0
0,0.02,0.012,50.7,0
0,0.02,0.014,51.85,0
0,0.02,0.016,52.35,0
0,0.02,0.018,53.05,0
0,0.02,0.02,53.25,0
0,0.03,0.003,40.5,0
0,0.03,0.006,36.55,0
0,0.03,0.009,33.7,0
0,0.03,0.012,35.05,0
0,0.03,0.015,33.35,0
0,0.03,0.018,33.2,0
0,0.03,0.021,35.95,0
0,0.03,0.024,34.6,0
0,0.03,0.027,36.2,0
0,0.03,0.03,37.5,0
0,0.04,0.004,30.5,0
0,0.04,0.008,26.8,0
0,0.04,0.012,25.6,0
0,0.04,0.016,25.2,0
0,0.04,0.02,26.1,0
0,0.04,0.024,25.95,0
0,0.04,0.028,25.95,0
0,0.04,0.032,26.3,0
0,0.04,0.036,27.1,0
0,0.04,0.04,27.55,0
0,0.05,0.005,24.6,0
0,0.05,0.01,22.55,0
0,0.05,0.015,21.35,0
0,0.05,0.02,20.5,0
0,0.05,0.025,20.5,0
0,0.05,0.03,20.35,0
0,0.05,0.035,21.5,0
0,0.05,0.04,21.15,0
0,0.05,0.045,21.15,0
0,0.05,0.05,21.65,0
0,0.06,0.006,20.4,0
0,0.06,0.012,18.75,0
0,0.06,0.018,17.5,0
0,0.06,0.024,17.25,0
0,0.06,0.03,17.15,0
0,0.06,0.036,16.75,0
0,0.06,0.042,17.45,0
0,0.06,0.048,17.6,0
0,0.06,0.054,17.5,0
0,0.06,0.06,18.35,0
0,0.07,0.007,17.45,0
0,0.07,0.014,16,0
0,0.07,0.021,15.35,0
0,0.07,0.028,15.4,0
0,0.07,0.035,15,0
0,0.07,0.042,15.25,0
0,0.07,0.049,14.95,0
0,0.07,0.056,15.65,0
0,0.07,0.063,15.4,0
0,0.07,0.07,16.05,0
0,0.08,0.008,16.05,0
0,0.08,0.016,14.25,0
0,0.08,0.024,13.5,0
0,0.08,0.032,13.05,0
0,0.08,0.04,13.05,0
0,0.08,0.048,12.9,0
0,0.08,0.056,13.35,0
0,0.08,0.064,13.55,0
0,0.08,0.072,13.9,0
0,0.08,0.08,13.85,0
0,0.09,0.009,14.45,0
0,0.09,0.018,12.5,0
0,0.09,0.027,12.15,0
0,0.09,0.036,11.7,0
0,0.09,0.045,11.55,0
0,0.09,0.054,11.6,0
0,0.09,0.063,12.05,0
0,0.09,0.072,12,0
0,0.09,0.081,11.85,0
0,0.09,0.09,12.1,0
0,0.1,0.01,13.4,0
0,0.1,0.02,11.2,0
0,0.1,0.03,10.95,0
0,0.1,0.04,10.65,0
0,0.1,0.05,10.8,0
0,0.1,0.06,10.85,0
0,0.1,0.07,10.55,0
0,0.1,0.08,10.85,0
0,0.1,0.09,10.75,0
0,0.1,0.1,11.2,0
0.005,0.01,0,99.45,100
0.005,0.01,0.001,91.35,57.5953059459398
0.005,0.01,0.002,85.2,42.9233093833363
0.005,0.01,0.003,84.4,32.3045912519594
0.005,0.01,0.004,84.3,29.1449834816416
0.005,0.01,0.005,88.75,28.7743752873874
0.005,0.01,0.006,86.3,25.6789921066076
0.005,0.01,0.007,85.1,24.9698142414861
0.005,0.01,0.008,88.55,23.190342856772
0.005,0.01,0.009,90.1,21.5555506413092
0.005,0.01,0.01,89.35,22.4499557717824
0.005,0.02,0,60.7,100
0.005,0.02,0.002,50.6,39.4949129827561
0.005,0.02,0.004,47.5,24.7836219644363
0.005,0.02,0.006,47.95,19.1876232632971
0.005,0.02,0.008,46.55,17.1712210590295
0.005,0.02,0.01,46.45,15.2023418838607
0.005,0.02,0.012,47.7,14.3326334539805
0.005,0.02,0.014,47.3,12.7960143034256
0.005,0.02,0.016,48.05,12.8840680587551
0.005,0.02,0.018,49.4,11.084499947109
0.005,0.02,0.02,49.55,11.8354135122642
0.005,0.03,0,46.7,100
0.005,0.03,0.003,36,28.0870816558068
0.005,0.03,0.006,34.25,16.8164425802821
0.005,0.03,0.009,32.4,13.3757041338548
0.005,0.03,0.012,32.7,11.477417863006
0.005,0.03,0.015,32.55,10.0277306898835
0.005,0.03,0.018,33.2,9.8431017093142
0.005,0.03,0.021,33.2,9.10143828124545
0.005,0.03,0.024,33.6,8.24855282365651
0.005,0.03,0.027,33.65,8.12121690741741
0.005,0.03,0.03,33.45,8.65360607083249
0.005,0.04,0,37.05,100
0.005,0.04,0.004,28.8,23.8742987035549
0.005,0.04,0.008,25.85,13.3212786815686
0.005,0.04,0.012,25.4,11.5477612924943
0.005,0.04,0.016,24.25,8.06956286540793
0.005,0.04,0.02,24.55,7.91645604962715
0.005,0.04,0.024,25,7.49403864069471
0.005,0.04,0.028,25.3,6.60586667944557
0.005,0.04,0.032,25.05,6.1481232078805
0.005,0.04,0.036,25.55,5.60144694885665
0.005,0.04,0.04,25.25,5.63503033682088
0.005,0.05,0,31.05,100
0.005,0.05,0.005,23.1,17.1214617816402
0.005,0.05,0.01,21.2,10.6629589415781
0.005,0.05,0.015,20.05,7.12306091897621
0.005,0.05,0.02,20.15,7.79711076695603
0.005,0.05,0.025,19.15,6.01150846038077
0.005,0.05,0.03,20.1,6.38507693102108
0.005,0.05,0.035,20.3,5.233620759088
0.005,0.05,0.04,20.75,5.11054418418594
0.005,0.05,0.045,20.6,5.30591618228338
0.005,0.05,0.05,21.35,4.22674565294556
0.005,0.06,0,26.7,100
0.005,0.06,0.006,19.4,18.0528818632123
0.005,0.06,0.012,17.5,8.05145910894471
0.005,0.06,0.018,16.7,6.9119592724979
0.005,0.06,0.024,16.95,5.28701641622754
0.005,0.06,0.03,16.65,5.12705111208215
0.005,0.06,0.036,17.6,4.0844125428065
0.005,0.06,0.042,17.35,4.80497362607953
0.005,0.06,0.048,17.4,3.69603589545606
0.005,0.06,0.054,17.8,4.14043474090018
0.005,0.06,0.06,17.8,3.94156139229192
0.005,0.07,0,24.4,100
0.005,0.07,0.007,16.55,13.7262120565745
0.005,0.07,0.014,15.5,8.18082855068656
0.005,0.07,0.021,14.85,5.98772362595917
0.005,0.07,0.028,14.4,3.78315558251344
0.005,0.07,0.035,14.1,3.87298714248988
0.005,0.07,0.042,14.8,3.95848651944956
0.005,0.07,0.049,15.35,3.5624865114331
0.005,0.07,0.056,15.05,3.22723953270392
0.005,0.07,0.063,14.9,3.62264998860794
0.005,0.07,0.07,15.15,2.1925775933155
0.005,0.08,0,21.7,100
0.005,0.08,0.008,15.15,11.7754256815524
0.005,0.08,0.016,13.55,6.08088040220893
0.005,0.08,0.024,13,4.57626919607687
0.005,0.08,0.032,12.7,4.25561356803017
0.005,0.08,0.04,12.7,3.62204661226554
0.005,0.08,0.048,12.9,3.28900729114294
0.005,0.08,0.056,13.1,3.35699146648333
0.005,0.08,0.064,13.05,2.54476085868899
0.005,0.08,0.072,13.25,2.18551442249304
0.005,0.08,0.08,13.85,2.8471918025354
0.005,0.09,0,20.9,100
0.005,0.09,0.009,13.45,9.37614208456841
0.005,0.09,0.018,12.45,5.05065786002895
0.005,0.09,0.027,11.7,5.10760025048318
0.005,0.09,0.036,11.5,3.71309741559756
0.005,0.09,0.045,11.85,3.79178095129581
0.005,0.09,0.054,11.5,3.1511435939882
0.005,0.09,0.063,11.75,2.63943091623156
0.005,0.09,0.072,11.9,1.96872090136968
0.005,0.09,0.081,11.85,2.28032244960982
0.005,0.09,0.09,11.85,2.07034184641165
0.005,0.1,0,18.9,100
0.005,0.1,0.01,12,8.49714056821389
0.005,0.1,0.02,11.2,4.62757975185859
0.005,0.1,0.03,10.9,4.19399485148784
0.005,0.1,0.04,10.5,2.49926416835587
0.005,0.1,0.05,10.35,2.6927078379459
0.005,0.1,0.06,10.4,2.01925755943041
0.005,0.1,0.07,10.35,2.52830655602332
0.005,0.1,0.08,10.6,2.23693654323368
0.005,0.1,0.09,10.7,1.7462632026812
0.005,0.1,0.1,11.05,1.89257133140307
0.01,0.01,0,77.35,100
0.01,0.01,0.001,75.2,73.3240715114007
0.01,0.01,0.002,72.25,61.314957853383
0.01,0.01,0.003,76.2,50.2733472050081
0.01,0.01,0.004,74.25,46.7538233764211
0.01,0.01,0.005,71.15,42.9257095754555
0.01,0.01,0.006,75.65,40.9567097580861
0.01,0.01,0.007,73.7,40.6798213192501
0.01,0.01,0.008,77.4,38.11920473585
0.01,0.01,0.009,77.95,35.1310120645855
0.01,0.01,0.01,78.45,34.8996992573925
0.01,0.02,0,51.6,100
0.01,0.02,0.002,45.8,55.710212267628
0.01,0.02,0.004,44.5,40.3839723345193
0.01,0.02,0.006,42.95,33.6354645624579
0.01,0.02,0.008,43.3,28.5586425492239
0.01,0.02,0.01,42.35,26.0944179208208
0.01,0.02,0.012,43.05,24.7518172229928
0.01,0.02,0.014,43.6,23.0738540647202
0.01,0.02,0.016,43.2,22.9577147641579
0.01,0.02,0.018,45.95,23.525043741429
0.01,0.02,0.02,45.2,20.2378466977655
0.01,0.03,0,37.9,100
0.01,0.03,0.003,33,41.0284616561512
0.01,0.03,0.006,31.45,29.2133087536374
0.01,0.03,0.009,30.85,26.6047907510467
0.01,0.03,0.012,29.7,19.807667410969
0.01,0.03,0.015,29.45,18.5031413805829
0.01,0.03,0.018,30.95,16.6151441012557
0.01,0.03,0.021,29.8,16.1015789073041
0.01,0.03,0.024,30.3,15.2512468572459
0.01,0.03,0.027,31.75,15.3986719745264
0.01,0.03,0.03,32.4,14.7304677702666
0.01,0.04,0,31.65,100
